代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00283	高银地产	-0.92	3343037	6.430	6.490	2000	522220	0.00	6.300	6.480	6.300	--  	0.00	2.77	-0.060	     53	6.410	6.430	3748626.00	
00285	比亚迪电子	-3.18	48117248	8.220	8.490	500	5778395	0.12	8.510	8.510	8.210	--  	0.00	3.53	-0.270	    771	8.220	8.220	2016621.75	
00288	万洲国际	-0.16	90131632	6.080	6.090	500	14794596	-0.33	6.120	6.120	6.060	--  	0.00	0.99	-0.010	   1843	6.080	6.080	1387300.00	
00291	华润啤酒	-0.11	48019328	17.580	17.600	2000	2742410	0.69	17.520	17.620	17.300	--  	0.00	1.82	-0.020	    501	17.540	17.580	4381600.00	
00293	国泰航空	-1.70	60830932	11.580	11.780	1000	5282228	0.17	11.720	11.720	11.420	--  	0.43	2.55	-0.200	    755	11.560	11.580	17036400.00	
00297	中化化肥	-2.50	25371402	1.170	1.200	2000	21640000	0.86	1.200	1.200	1.160	--  	0.00	3.33	-0.030	    325	1.160	1.170	2520149.00	
00300	昆明机床	-1.48	491845	2.670	2.710	2000	183500	0.00	2.710	2.740	2.670	--  	0.00	2.58	-0.040	     12	2.670	2.670	265816.91	
00303	VTECH HOLDINGS	-1.25	66738252	87.200	88.300	100	760640	0.00	88.300	88.600	87.150	--  	1.51	1.64	-1.100	    790	87.100	87.200	109930.00	
00308	香港中旅	-0.89	28257082	2.220	2.240	2000	12784000	0.45	2.250	2.250	2.200	--  	0.90	2.23	-0.020	    568	2.210	2.220	2096502.63	
00315	数码通电讯	-0.40	24106606	10.020	10.060	500	2406791	0.00	10.200	10.200	10.000	--  	2.69	1.99	-0.040	    294	10.000	10.020	980305.81	
00316	东方海外国际	-3.55	64034940	44.850	46.500	500	1403166	0.11	46.500	46.500	44.750	--  	0.00	3.76	-1.650	    714	44.800	44.850	941945.31	
00317	中船防务	-3.69	52758124	16.720	17.360	2000	3122700	0.84	17.260	17.360	16.580	--  	0.00	4.49	-0.640	    475	16.720	16.720	5091487.00	
00321	德永佳集团	1.58	8447476	5.130	5.050	2000	1653128	0.39	5.080	5.130	5.070	--  	5.85	1.19	0.080	    317	5.120	5.130	1123151.25	
00322	康师傅控股	-3.54	72631488	8.720	9.040	2000	8198997	0.00	8.980	9.000	8.700	--  	0.00	3.32	-0.320	    834	8.710	8.720	918443.13	
00323	马鞍山钢铁股份	-4.01	134179888	2.870	2.990	2000	46310000	0.00	2.960	2.990	2.850	--  	0.00	4.68	-0.120	   1621	2.870	2.870	6262746.00	
00327	百富环球	-6.84	72127456	5.040	5.410	1000	14307000	0.20	5.380	5.380	4.920	--  	0.79	8.50	-0.370	   1002	5.010	5.040	418122.69	
