代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
002435	长江润发	-1.55	26657210	16.55	16.55	16.56	16390	537	0.00	          0.89	
002671	龙泉股份	-6.80	26165462	5.76	5.76	5.77	44963	226	0.00	          1.35	
600639	浦东金桥	-5.28	26147844	14.70	14.70	14.72	17471	3	-0.19	          0.25	
603558	健盛集团	-8.43	25972308	9.88	9.86	9.88	25616	1	-0.79	          0.85	
600190	锦州港	-6.82	25825198	3.69	3.68	3.69	68604	8	1.10	          0.39	
002144	宏达高科	-6.86	25801168	12.49	12.48	12.49	19981	369	-0.23	          1.46	
82822	南方Ａ５０－Ｒ	-2.79	25799380	12.560	--  	--  	2060004	200	0.00	--  	
600629	华建集团	-5.96	25678784	13.88	13.88	13.90	18060	10	-0.06	          0.50	
00330	思捷环球	-5.76	25475596	2.780	2.770	2.780	9077218	704700	0.00	          0.48	
601208	东材科技	-6.03	25371012	5.30	5.29	5.30	47216	10	0.00	          0.75	
603316	诚邦股份	-9.90	25000092	11.29	11.30	11.33	21241	10	-0.34	          4.18	
600665	天地源	-5.04	24998708	3.96	3.95	3.96	62105	58	-0.24	          0.72	
01717	澳优	-8.93	24731262	5.610	--  	--  	4277000	6000	-0.71	          0.34	
603968	醋化股份	-5.40	24681676	18.21	18.18	18.19	13425	3	0.33	          0.98	
600853	龙建股份	-6.30	24618336	4.46	4.45	4.46	54215	29	-0.44	          1.01	
600397	安源煤业	-7.96	24301948	2.66	2.65	2.66	88539	225	-1.47	          0.89	
002763	汇洁股份	-6.26	23896822	11.83	11.83	11.84	19819	80	-0.07	          1.70	
603908	牧高笛	-8.03	23878768	28.40	28.22	28.38	8255	4	-0.17	          3.58	
03167	南方中国新行业	-3.13	23806528	77.350	--  	--  	308800	1000	0.13	--  	
600243	青海华鼎	-4.89	23698924	6.23	6.19	6.20	37218	20	1.30	          1.57	
000850	华茂股份	-4.87	23548298	4.10	4.10	4.11	56625	204	0.00	          0.60	
600599	熊猫金控	-2.10	23433400	18.14	18.07	18.10	12990	25	0.78	          0.78	
603839	安正时尚	-4.58	23397008	21.46	21.47	21.49	10940	3	0.75	          1.47	
03836	和谐汽车	-3.95	23319026	5.100	5.100	5.110	4612000	98500	0.99	          0.30	
000539	粤电力Ａ	-3.85	23210644	4.49	4.48	4.49	51095	176	0.00	          0.20	
01381	粤丰环保	-1.77	22981486	4.440	4.440	4.460	5253000	87000	0.45	          0.21	
002199	东晶电子	-0.21	22914020	14.00	13.99	14.00	16722	2979	-0.06	          0.76	
601616	广电电气	-6.59	22913508	3.40	3.40	3.41	65957	50	-0.57	          0.70	
300442	普丽盛	-6.44	22882426	18.02	18.00	18.02	12600	16	0.11	          2.17	
000682	东方电子	-5.37	22871724	4.23	4.22	4.23	53174	346	0.00	          0.54	
300626	华瑞股份	-10.02	22742552	23.09	--  	23.09	9792	59	0.00	          1.88	
300179	四方达	-6.26	22713608	5.69	5.69	5.70	39280	1082	-0.17	          1.22	
603585	苏利股份	-5.75	22704332	27.52	27.32	27.51	8163	1	0.95	          1.81	
07231	ＦＬ二未来恒指	-4.66	22464220	12.280	--  	--  	1852000	500	0.00	--  	
603178	圣龙股份	-9.22	22419870	11.92	11.91	11.92	18170	12	0.25	          3.63	
000863	三湘印象	-5.67	21852210	4.66	4.66	4.67	45994	182	0.00	          0.50	
603028	赛福天	-8.94	21796800	8.86	8.85	8.87	24098	25	-0.10	          2.09	
603985	恒润股份	-8.27	21636052	30.06	30.04	30.05	7027	3	0.07	          3.51	
300387	富邦股份	-7.44	21575358	14.68	14.67	14.68	14382	112	0.00	          1.16	
600578	京能电力	-3.47	21240240	3.34	3.34	3.35	62761	15	0.00	          0.14	
600070	浙江富润	-3.73	21135476	8.77	8.75	8.76	24083	12	0.46	          0.60	
600052	浙江广厦	-5.41	21031694	3.50	3.48	3.49	59296	10	0.29	          0.68	
603037	凯众股份	-5.72	20995728	23.92	23.94	23.96	8705	450	1.23	          1.42	
000677	恒天海龙	-7.58	20991024	3.05	3.05	3.06	67289	276	-0.32	          0.78	
002646	青青稞酒	-5.55	20865042	12.26	12.25	12.26	16703	156	0.00	          0.37	
300587	天铁股份	-9.98	20564796	19.93	19.93	20.00	9933	107	-0.09	          2.38	
002478	常宝股份	-5.92	20425198	4.77	4.76	4.77	41502	197	0.21	          0.68	
