代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08201	宝联控股	1.75	70580	0.290	--  	244000	20000	0.00	          0.09	  2.22	0.285	
08048	御德国际控股	-1.94	69984	0.101	--  	692000	692000	0.00	          0.04	  0.40	0.102	
08301	明华科技	2.11	69920	0.970	--  	72000	16000	-1.02	          0.04	  0.24	0.980	
08290	亚势备份	3.16	69400	0.098	--  	720000	720000	0.00	          0.04	  1.53	0.094	
08480	飞霓控股	-3.61	67560	0.400	--  	168000	36000	0.00	          0.03	  0.47	0.400	
08331	飞尚非金属	0.00	65900	0.610	--  	110000	10000	1.67	          0.02	  0.08	0.580	
08192	环球能源资源	0.00	61200	0.330	--  	186000	36000	0.00	          0.02	  0.10	0.330	
08309	万成环球控股	4.48	59200	0.350	--  	170000	150000	0.00	          0.03	  0.06	0.335	
08165	华普智通	0.00	59030	0.034	--  	1790000	40000	6.25	          0.08	  0.15	0.033	
08269	富誉控股	2.86	58816	0.108	--  	534000	10000	-4.42	          0.06	  0.46	0.110	
08423	CHI HO DEV	0.85	58800	1.180	--  	50000	10000	-1.67	          0.01	  0.25	1.160	
08460	基地锦标集团	0.00	55200	0.221	--  	250000	50000	0.00	          0.03	  0.23	0.221	
08169	环康集团	20.00	53920	0.192	--  	290000	50000	-2.04	          0.04	  1.96	0.172	
08052	陆庆娱乐	3.95	51740	0.079	--  	670000	300000	1.28	          0.04	  0.15	0.074	
08006	华泰瑞银	-3.29	51200	0.206	--  	240650	10000	-4.19	          0.06	  0.97	0.214	
08033	爱达利网络	1.79	50650	0.285	--  	180000	50000	0.00	          0.03	  0.76	0.280	
08119	即时科研	-1.54	50500	0.640	--  	80000	50000	1.59	          0.03	  1.64	0.640	
08116	中国幸福投资	4.17	49260	0.075	--  	660000	200000	0.00	          0.02	  2.48	0.072	
08491	COOL LINK	-1.15	48475	0.430	--  	115000	10000	0.00	          0.02	  0.09	0.415	
08493	龙皇集团	-3.16	47124	0.184	--  	252000	12000	0.00	          0.02	  0.19	0.190	
08355	超智能控股	0.00	46750	0.340	--  	140000	30000	0.00	          0.01	  0.39	0.325	
08431	浩柏国际	0.00	46250	0.185	--  	250000	250000	0.00	          0.02	  0.17	0.185	
08501	庄皇集团公司	-1.99	44420	1.480	--  	30000	2000	0.00	          0.01	  0.64	1.490	
08296	中国生命集团	0.00	43940	0.295	--  	148000	4000	1.72	          0.02	  0.08	0.295	
08310	大丰港	0.00	40400	0.630	--  	60000	20000	1.61	          0.00	  0.37	0.700	
08280	中国数字视频	2.82	39820	0.730	--  	56000	2000	-1.35	          0.01	  0.99	0.710	
08220	比高集团	0.00	39680	0.062	--  	640000	240000	0.00	          0.02	  0.63	0.061	
08409	海鑫集团	-2.33	38700	0.420	--  	90000	20000	-2.33	          0.01	  0.61	0.430	
08385	万里印刷	1.54	38670	0.330	--  	123000	10000	0.00	          0.02	  0.13	0.310	
08112	基石金融	3.56	38280	0.233	--  	168000	72000	4.02	          0.01	  0.11	0.225	
08251	优越集团控股	1.35	37400	0.750	--  	50000	40000	0.00	          0.01	  0.30	0.740	
08157	象兴国际	1.64	37200	0.310	--  	120000	20000	0.00	          0.01	  0.16	0.310	
08375	弘浩国际控股	-3.41	35860	0.198	--  	180000	110000	0.00	          0.02	  0.82	0.205	
08152	明梁控股	0.00	34850	0.290	--  	120000	30000	0.00	          0.02	  0.69	0.290	
08509	威扬酒业控股	-4.11	33720	0.700	--  	48000	4000	0.00	          0.01	  0.11	0.700	
08311	圆美光电	2.99	33700	0.345	--  	100000	100000	-1.43	          0.01	  0.46	0.330	
08109	麒麟集团控股	0.00	33612	0.017	--  	1977000	15000	0.00	          0.04	  0.16	0.017	
08272	华人饮食集团	6.25	32560	0.017	--  	2040000	20000	6.25	          0.06	  0.27	0.015	
08268	迪臣建设	0.00	32066	0.198	--  	162000	2000	0.00	          0.02	  0.63	0.198	
08239	首都金融控股	-2.00	31225	0.098	--  	332800	60000	5.38	          0.03	  0.99	0.093	
08123	华亿金控	0.00	30660	0.070	--  	438000	84000	0.00	          0.01	  0.38	0.070	
08295	中植资本国际	-4.04	29440	0.190	--  	160000	20000	0.00	          0.00	  0.41	0.178	
08278	CMON	0.00	27500	0.250	--  	110000	40000	0.00	          0.01	  0.24	0.250	
08179	新煮意控股	-0.54	25601	0.184	--  	141600	24000	-0.54	          0.01	  0.16	0.180	
08362	运兴泰集团	0.79	25400	0.127	--  	200000	200000	0.00	          0.01	  0.10	0.127	
08031	易通讯集团	-2.41	22680	0.810	--  	28000	28000	0.00	          0.01	  0.43	0.810	
08277	骏东控股	-4.35	20220	0.660	--  	32000	2000	0.00	          0.01	  0.31	0.630	
08045	南大苏富特	-1.87	19260	0.210	--  	96000	6000	0.00	          0.02	  0.64	0.200	
08088	海汇国际科技	-3.57	18144	0.027	--  	672000	576000	0.00	          0.01	  0.32	0.027	
08203	凯顺能源	0.00	16800	0.280	--  	60000	60000	0.00	          0.01	  0.32	0.280	
08230	中国宇天	0.00	16650	0.490	--  	35000	10000	0.00	          0.00	  0.28	0.475	
08246	北方新能源	0.00	16320	0.255	--  	64000	64000	0.00	          0.00	  0.02	0.255	
08221	PF GROUP	4.83	14480	0.152	--  	100000	20000	6.29	          0.01	  0.21	0.143	
08155	南华资产控股	2.00	12448	0.051	--  	272000	16000	0.00	          0.00	  0.36	0.047	
08346	创新电子控股	0.00	12250	0.310	--  	40000	30000	1.64	          0.01	  0.03	0.310	
08317	财华社集团	0.00	11640	0.860	--  	14000	2000	0.00	          0.00	  0.38	0.820	
08213	新智控股	-1.28	10570	0.077	--  	150000	10000	0.00	          0.00	  0.21	0.070	
08270	中国煤层气	0.00	9280	0.068	--  	140000	40000	1.49	          0.01	  1.13	0.067	
08093	万星控股	0.58	8650	1.730	--  	5000	5000	0.58	          0.00	  0.10	--  	
08476	大洋环球控股	-1.39	8560	0.710	--  	12000	10000	0.00	          0.00	  0.07	0.730	
08218	毅高国际控股	0.00	7480	0.187	--  	40000	40000	0.00	          0.00	  0.28	0.187	
08125	仁德资源	0.00	7200	0.450	--  	16000	16000	0.00	          0.00	  0.15	0.450	
08066	品创控股	-3.27	7160	0.148	--  	50000	5000	0.00	          0.01	  0.82	0.148	
08080	北亚策略	0.00	7153	0.130	--  	58200	2200	0.00	          0.00	  0.21	0.122	
08243	大贺传媒	-2.63	5550	0.370	--  	15000	15000	0.00	          0.01	  0.15	0.370	
08070	侨洋国际控股	-1.79	5500	0.550	--  	10000	10000	0.00	          0.01	  0.04	0.550	
08252	泰和小贷	4.62	5120	2.490	--  	2000	2000	-2.73	          0.00	  0.16	2.560	
08020	宏海控股集团	5.79	3740	0.128	--  	30000	10000	4.07	          0.00	  0.07	0.123	
08286	长城微光	14.04	3225	0.325	--  	10000	5000	-2.99	          0.01	  0.08	0.310	
08098	昌利控股	1.33	3040	0.152	--  	20000	20000	0.00	          0.00	  0.16	0.152	
08186	同仁资源	0.00	27	0.077	--  	400	400	0.00	          0.00	  0.00	--  	
08149	浩德控股	0.00	0	0.330	--  	0	0	0.00	          0.00	  0.00	--  	
08139	长安仁恒	0.00	0	3.200	--  	0	0	0.00	          0.00	  0.00	--  	
08122	德莱建业	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08115	上海青浦消防	0.00	0	0.640	--  	0	0	0.00	          0.00	  0.00	--  	
08111	中科光电	0.00	0	0.080	--  	0	0	0.00	          0.00	  0.00	--  	
08106	升华兰德	0.00	0	0.390	--  	0	0	0.00	          0.00	  0.00	--  	
08092	ITE HOLDINGS	0.00	0	0.083	--  	0	0	0.00	          0.00	  0.00	--  	
08079	易还财务投资	0.00	0	0.580	--  	0	0	0.00	          0.00	  0.00	--  	
08077	昆仑国际金融	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08069	纵横游控股	0.00	0	0.820	--  	0	0	0.00	          0.00	  0.00	--  	
08063	环球大通集团	0.00	0	0.104	--  	0	0	0.00	          0.00	  0.00	--  	
08060	国联通信	-1.43	0	0.138	--  	0	0	0.00	          0.00	  0.00	--  	
08053	比优集团	0.00	0	0.570	--  	0	0	0.00	          0.00	  0.00	--  	
08038	金力集团	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08019	皓文控股	0.00	0	0.101	--  	0	0	0.00	          0.00	  0.00	--  	
08016	长虹佳华	0.00	0	0.820	--  	0	0	0.00	          0.00	  0.00	--  	
08012	环宇物流（亚洲）	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08008	新意网集团	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08595	御德国际控股股权	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08593	西安海天天四千	--  	0	0.000	--  	0	0	--  	--  	--  	--  	
08592	罗马集团股权	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08591	罗马集团（旧）	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08590	L&A INTL-OLD	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08472	立高控股	1.67	0	0.610	--  	0	0	0.00	          0.00	  0.00	--  	
08452	富银融资股份	0.00	0	1.220	--  	0	0	0.00	          0.00	  0.00	--  	
08442	桦欣控股	0.00	0	9.250	--  	0	0	0.00	          0.00	  0.00	--  	
08428	国茂控股	-1.22	0	0.243	--  	0	0	0.00	          0.00	  0.00	--  	
08370	智升集团控股	0.00	0	1.000	--  	0	0	0.00	          0.00	  0.00	--  	
08369	立基工程控股	--  	0	0.000	--  	0	0	--  	--  	  0.00	--  	
08363	SDM GROUP	0.00	0	0.375	--  	0	0	0.00	          0.00	  0.00	--  	
08353	安科系统	0.00	0	0.580	--  	0	0	0.00	          0.00	  0.00	--  	
08348	滨海泰达物流	0.00	0	1.140	--  	0	0	0.00	          0.00	  0.00	--  	
08345	火岩控股	0.00	0	5.950	--  	0	0	0.00	          0.00	  0.00	--  	
08343	宏光照明	0.00	0	0.850	--  	0	0	0.00	          0.00	  0.00	--  	
08341	艾硕控股	0.00	0	2.700	--  	0	0	0.00	          0.00	  0.00	--  	
08316	柏荣集团控股	0.00	0	1.600	--  	0	0	0.00	          0.00	  0.00	--  	
08306	中国有色金属	0.00	0	0.201	--  	0	0	0.00	          0.00	  0.00	--  	
08297	芭迪贝伊	0.00	0	0.255	--  	0	0	0.00	          0.00	  0.00	--  	
08293	星亚控股	--  	0	0.000	--  	0	0	--  	          0.00	  0.00	--  	
08282	智傲控股	0.00	0	1.100	--  	0	0	0.00	          0.00	  0.00	--  	
08273	浙江展望	0.00	0	1.350	--  	0	0	0.00	          0.00	  0.00	--  	
