代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08463	TOMO HOLDINGS	1.84	285560	--  	--  	172000	20000	-1.19	          0.04	  0.29	1.630	
08400	亚洲先锋娱乐	-1.00	285330	--  	--  	1440000	40000	0.00	          0.14	  0.79	0.198	
08129	云信投资控股	-4.76	282520	--  	--  	14100000	280000	0.00	          0.47	  0.25	0.020	
08456	民信国际控股	-2.30	281700	--  	--  	672000	44000	1.19	          0.17	  0.34	0.410	
08091	奥传思维控股	-1.88	279270	--  	--  	1820000	10000	6.08	          0.25	  1.29	0.157	
08299	大唐潼金	0.00	276360	--  	--  	19452000	96000	0.00	          0.09	  1.16	0.015	
08176	超人智能	1.82	276000	--  	--  	25000	5000	0.00	          0.01	  0.07	11.000	
08005	裕兴科技	3.95	271540	--  	--  	346000	14000	0.00	          0.02	  0.69	0.790	
08420	NEXION TECH	-1.82	270150	--  	--  	495000	115000	0.00	          0.08	  0.58	0.560	
08513	迎宏控股	-1.89	265200	--  	--  	508000	40000	-1.89	          0.13	  0.25	0.500	
08476	大洋环球控股	-4.23	257320	--  	--  	370000	16000	0.00	          0.13	  3.05	0.710	
08265	中国之信集团	0.00	252320	--  	--  	84000	4000	0.66	          0.00	  0.69	3.000	
08027	吉辉控股	0.00	251060	--  	--  	3585000	15000	0.00	          0.11	  4.81	0.077	
08450	钜京控股	-1.19	248080	--  	--  	1490000	70000	-0.60	          0.15	  0.65	0.168	
08128	中国地能	1.99	245600	--  	--  	1632000	24000	0.00	          0.04	  0.55	0.151	
08351	俊文宝石	-7.81	230400	--  	--  	770000	100000	0.00	          0.02	  1.35	0.300	
08186	同仁资源	1.30	229640	--  	--  	2797360	20000	-3.70	          0.34	  0.35	0.077	
08202	汇创控股	-2.50	210728	--  	--  	1138000	20000	4.28	          0.11	  0.39	0.185	
08371	尝高美集团	-5.13	207400	--  	--  	272000	16000	-3.90	          0.07	  1.08	0.780	
08346	创新电子控股	0.00	194950	--  	--  	640000	10000	-1.59	          0.11	  0.59	0.300	
08198	乐透互娱	-1.65	194698	--  	--  	831600	52000	-0.42	          0.03	  0.17	0.244	
