代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
300099	精准信息	1.82	228334960	0.13	7.29	7.30	317731	5173	0.14	          8.10	7.14	
601366	利群股份	3.68	224827056	0.40	11.26	11.27	199308	3	0.27	         11.32	11.25	
300339	润和软件	2.32	224077536	0.25	11.03	11.04	204162	2114	0.00	          3.95	10.50	
600838	上海九百	10.03	221625632	0.91	9.98	--  	232586	3	0.00	          5.80	9.04	
600272	开开实业	9.96	216382688	1.07	11.81	--  	187575	5	0.00	         11.72	11.28	
002329	皇氏集团	3.88	212949968	0.25	6.69	6.70	317511	1558	0.00	          5.61	6.46	
002419	天虹股份	3.23	212858480	0.65	20.80	20.81	103131	1490	0.00	          1.29	19.97	
300509	新美星	0.91	210726192	0.28	30.90	30.97	66275	760	0.65	         25.20	33.30	
600372	中航电子	0.75	208809824	0.11	14.67	14.68	142965	3	0.00	          0.81	14.43	
300731	科创新源	10.00	206890288	3.58	39.38	--  	53617	318	0.00	         24.37	36.40	
603499	翔港科技	6.20	204600800	1.69	28.91	28.99	73351	26	2.15	         29.34	26.92	
300700	岱勒新材	2.40	203892496	1.56	66.50	66.51	30593	479	0.14	         14.85	65.00	
603363	傲农生物	3.74	200470208	0.63	17.48	17.50	116579	55	0.63	         19.43	16.50	
601952	苏垦农发	2.82	200358464	0.34	12.40	12.41	163194	39	-0.15	          6.28	12.07	
002596	海南瑞泽	1.16	199012096	0.13	11.33	11.34	174763	1177	0.09	          2.41	11.21	
603000	人民网	3.72	197869664	0.42	11.69	11.70	170620	6	0.52	          1.54	11.30	
000032	深桑达Ａ	2.32	191751104	0.25	11.03	11.04	180967	3328	0.73	          6.48	10.60	
300506	名家汇	0.41	190726368	0.09	21.98	21.99	87427	2114	-0.13	          6.63	21.23	
000018	神州长城	5.48	190157456	0.32	6.15	6.16	312400	3857	-0.15	          4.14	5.84	
600312	平高电气	2.07	186882848	0.19	9.38	9.39	202123	7	-0.10	          1.49	9.12	
002869	金溢科技	1.50	185584560	0.45	30.37	30.38	60472	617	0.13	         20.49	30.00	
600088	中视传媒	10.00	184583984	1.38	15.18	--  	128358	50	0.00	          3.87	14.00	
002917	金奥博	3.92	182457296	1.11	29.41	29.42	62842	1735	1.27	         22.23	28.43	
300519	新光药业	3.26	181217872	0.72	22.78	22.79	82387	1519	1.61	          8.34	21.50	
600855	航天长峰	4.19	178800336	0.58	14.42	14.44	125262	46	0.42	          3.79	13.80	
600833	第一医药	2.73	178795584	0.36	13.51	13.52	135162	193	-0.36	          6.06	13.18	
600480	凌云股份	2.99	177886176	0.43	14.79	14.80	121723	25	0.00	          3.37	14.41	
01359	中国信达	0.68	175119280	0.020	2.960	2.970	58802852	3783000	0.34	          0.43	2.990	
000021	深科技	1.37	173554688	0.12	8.90	8.91	197458	4559	0.23	          1.34	8.78	
600089	特变电工	0.56	173522560	0.05	9.02	9.04	193243	293	0.33	          0.52	8.99	
603776	永安行	3.32	172483008	1.99	61.86	61.88	28190	14	0.44	         11.75	59.90	
000901	航天科技	1.64	171612928	0.34	21.09	21.10	81921	1302	0.19	          2.17	20.68	
600604	市北高新	0.99	166579920	0.07	7.16	7.17	232785	34	0.00	          2.23	7.17	
03328	交通银行	0.16	166139936	0.010	6.300	6.310	26243732	3251000	0.16	          0.07	6.370	
600343	航天动力	1.79	163749104	0.21	11.96	11.97	138248	19	0.34	          2.17	11.70	
02357	中航科工	3.24	163508496	0.170	5.410	5.420	30191648	1677000	0.00	          1.28	5.350	
002474	榕基软件	2.33	163154400	0.20	8.79	8.80	187820	4276	0.34	          4.04	8.68	
002300	太阳电缆	4.95	156157808	0.39	8.27	8.28	191977	2094	-0.11	          3.54	7.78	
600736	苏州高新	0.91	155988800	0.06	6.65	6.66	227149	3	-0.44	          1.99	6.95	
300571	平治信息	0.43	154763616	0.38	89.50	89.79	17451	492	1.00	          4.99	89.44	
00992	联想集团	0.48	154512416	0.020	4.190	4.200	36912688	5792000	0.48	          0.31	4.200	
603636	南威软件	6.98	153986128	0.68	10.40	10.41	151380	234	-0.28	          3.76	9.62	
300726	宏达电子	1.35	147568656	0.33	24.83	24.84	60019	1235	-0.15	         14.97	24.06	
603716	塞力斯	5.90	142837840	3.57	64.12	64.16	22837	3	0.11	          5.94	60.66	
603366	日出东方	3.44	142142816	0.21	6.32	6.33	228697	155	-0.15	          2.86	6.00	
600650	锦江投资	4.41	140578672	0.62	14.69	14.70	97852	5	-0.06	          2.51	13.88	
07300	ＦＩ南方恒指	1.16	139584944	0.060	--  	--  	26914100	100	0.00	--  	5.170	
002860	星帅尔	2.92	136870768	1.28	45.07	45.08	30709	1026	0.51	         20.20	44.00	
002667	鞍重股份	0.79	136529152	0.12	15.36	15.38	87260	1120	-0.12	          9.32	16.00	
300302	同有科技	0.78	135816272	0.09	11.59	11.60	115918	1070	0.70	          4.74	11.70	
02098	卓尔集团	5.10	135617936	0.500	10.300	10.320	13351197	30000	0.00	          0.11	9.830	
600626	申达股份	4.41	135222160	0.31	7.35	7.36	187878	35	0.00	          2.65	7.03	
603859	能科股份	5.27	131661152	1.16	23.18	23.19	57771	3	0.30	         11.58	21.80	
002630	华西能源	0.41	131085752	0.05	12.29	12.30	106617	1008	-0.15	          1.77	12.23	
600503	华丽家族	1.03	129434648	0.06	5.91	5.92	217630	43	-0.16	          1.36	5.83	
603313	梦百合	0.70	129269064	0.18	25.83	25.84	49832	5	-0.18	          6.05	25.25	
300176	鸿特精密	0.19	127711024	0.27	139.72	139.77	9233	193	0.20	          0.86	139.51	
600624	复旦复华	3.21	127453328	0.20	6.43	6.44	197528	30	0.16	          2.88	6.20	
300468	四方精创	2.46	126607216	0.95	39.49	39.50	32170	411	-0.04	          4.81	38.09	
600209	罗顿发展	0.42	125005872	0.04	9.56	9.57	130644	11	0.21	          3.06	9.53	
000993	闽东电力	10.00	122657288	0.75	8.25	--  	151047	191	0.00	          4.05	7.36	
603777	来伊份	3.65	120351192	0.84	23.82	23.83	50407	5	0.51	          6.46	22.94	
600775	南京熊猫	4.80	120238240	0.37	8.08	8.09	153749	70	1.25	          2.29	7.66	
600689	上海三毛	10.00	118954952	1.13	12.43	--  	96329	10	0.00	          6.33	12.30	
002561	徐家汇	5.07	118753256	0.57	11.81	11.82	101973	3102	0.51	          2.57	11.20	
00958	华能新能源	1.40	117615296	0.040	2.900	2.910	40426400	2040000	0.00	          0.80	2.900	
300590	移为通信	2.04	116822224	0.51	25.52	25.53	46052	586	-0.15	          4.75	25.25	
002522	浙江众成	4.76	116582656	0.46	10.12	10.13	116429	1439	0.00	          1.40	9.60	
002205	国统股份	6.24	115838976	1.09	18.56	18.57	63702	1042	-0.42	          5.48	17.38	
000628	高新发展	1.17	115011856	0.11	9.49	9.50	122772	1893	0.11	          6.53	9.36	
002830	名雕股份	6.17	113884256	1.17	20.12	20.13	58100	1663	-0.44	         14.58	18.88	
01208	五矿资源	2.26	113828424	0.110	4.970	4.980	23060344	260000	0.00	          0.29	4.980	
002777	久远银海	9.93	113166648	3.42	37.86	37.87	30598	531	0.75	          5.10	34.50	
600692	亚通股份	4.17	112435176	0.39	9.72	9.73	117113	1	-0.19	          4.59	9.30	
300025	华星创业	2.16	112035232	0.12	5.67	5.68	201731	4472	0.53	          5.94	5.48	
002417	深南股份	2.94	111736592	0.34	11.88	11.89	95318	1310	-0.33	          4.25	11.44	
600730	中国高科	2.23	111410592	0.14	6.42	6.43	170886	16	-0.30	          2.91	6.27	
