Date,Open,High,Low,Close,Volume
2016-08-24,5.160,5.170,5.070,5.120,410478
2016-08-25,5.100,5.120,5.030,5.080,452284
2016-08-26,5.080,5.180,5.050,5.120,530007
2016-08-29,5.120,5.170,5.090,5.140,300229
2016-08-30,5.170,5.210,5.120,5.190,341022
2016-08-31,5.140,5.210,5.110,5.170,438696
2016-09-01,5.170,5.310,5.130,5.280,678768
2016-09-02,5.240,5.310,5.210,5.260,326753
2016-09-05,5.320,5.420,5.290,5.360,637089
2016-09-06,5.400,5.480,5.340,5.450,653210
2016-09-07,5.450,5.470,5.330,5.390,474975
2016-09-08,5.390,5.400,5.300,5.380,463569
2016-09-09,5.400,5.480,5.310,5.390,922181
2016-09-12,5.300,5.300,5.160,5.180,856370
2016-09-13,5.230,5.250,5.100,5.120,526455
2016-09-14,5.090,5.170,5.070,5.120,335158
2016-09-15,5.100,5.150,5.070,5.120,426083
2016-09-19,5.170,5.330,5.150,5.170,761490
2016-09-20,5.160,5.170,5.110,5.130,399799
2016-09-21,5.150,5.270,5.120,5.170,374261
2016-09-22,5.210,5.240,5.140,5.170,734374
2016-09-23,5.190,5.250,5.160,5.190,431543
2016-09-26,5.150,5.170,5.020,5.080,689804
2016-09-27,5.050,5.180,5.040,5.130,412210
2016-09-28,5.100,5.170,5.090,5.120,345667
2016-09-29,5.170,5.170,5.090,5.120,460201
2016-09-30,5.110,5.140,5.050,5.080,445628
2016-10-03,5.170,5.180,5.110,5.120,364620
2016-10-04,5.120,5.150,5.070,5.120,476353
2016-10-05,5.080,5.150,5.060,5.120,386615
2016-10-06,5.180,5.280,5.160,5.200,728829
2016-10-07,5.210,5.210,5.130,5.140,348674
2016-10-11,5.190,5.190,5.050,5.090,631156
2016-10-12,5.060,5.100,5.030,5.100,328781
2016-10-13,5.060,5.100,5.020,5.040,491649
2016-10-14,5.050,5.090,5.020,5.080,231205
2016-10-17,5.030,5.070,4.990,5.040,221463
2016-10-18,5.060,5.090,5.020,5.090,230627
2016-10-19,5.060,5.090,5.000,5.050,210879
2016-10-20,5.040,5.080,5.030,5.080,295088
2016-10-24,5.030,5.080,5.030,5.070,308848
2016-10-26,5.050,5.060,5.000,5.010,381034
2016-10-27,5.050,5.050,4.910,4.990,566811
2016-10-28,4.960,4.990,4.920,4.960,403840
2016-10-31,4.890,4.980,4.880,4.920,480610
2016-11-01,4.960,4.960,4.850,4.920,346533
2016-11-02,4.850,4.890,4.820,4.850,650534
2016-11-03,4.900,4.900,4.760,4.810,404606
2016-11-04,4.770,4.900,4.750,4.800,524051
2016-11-07,4.740,4.810,4.740,4.790,522726
2016-11-08,4.820,4.820,4.750,4.790,323580
2016-11-09,4.810,4.820,4.530,4.700,964004
2016-11-10,4.750,4.810,4.750,4.790,528468
2016-11-11,4.760,4.780,4.680,4.760,448842
