date	Price
1326	4.69
1325	4.69
1324	4.69
1323	4.69
1322	4.69
1321	4.69
1320	4.70
1319	4.69
1318	4.70
1317	4.70
1316	4.70
1315	4.70
1314	4.70
1313	4.70
1312	4.70
1311	4.70
1310	4.70
1309	4.70
1308	4.70
1307	4.70
1306	4.70
1305	4.70
1304	4.70
1303	4.69
1302	4.70
1301	4.69
1300	4.70
1200	4.69
1159	4.69
1158	4.69
1157	4.69
1156	4.69
1155	4.69
1154	4.69
1153	4.69
1152	4.70
1151	4.69
1150	4.69
1149	4.69
1148	4.68
1147	4.69
1146	4.69
1145	4.69
1144	4.68
1143	4.68
1142	4.69
1141	4.69
1140	4.68
1139	4.68
1138	4.68
1137	4.68
1136	4.69
1135	4.68
1134	4.68
1133	4.69
1132	4.69
1131	4.69
1130	4.68
1129	4.68
1128	4.68
1127	4.68
1126	4.68
1125	4.69
1124	4.68
1123	4.68
1122	4.68
1121	4.69
1120	4.69
1119	4.68
1118	4.69
1117	4.68
1116	4.68
1115	4.68
1114	4.68
1113	4.68
1112	4.68
1111	4.68
1110	4.68
1109	4.68
1108	4.67
1107	4.67
1106	4.67
1105	4.68
1104	4.68
1103	4.68
1102	4.68
1101	4.67
1100	4.66
1059	4.66
1058	4.66
1057	4.66
1056	4.67
1055	4.66
1054	4.67
1053	4.67
1052	4.66
1051	4.66
1050	4.66
1049	4.66
1048	4.66
1047	4.66
1046	4.65
1045	4.65
1044	4.65
1043	4.65
1042	4.65
1041	4.65
1040	4.66
1039	4.66
1038	4.65
1037	4.65
1036	4.65
1035	4.65
1034	4.66
1033	4.66
1032	4.66
1031	4.65
1030	4.65
1029	4.66
1028	4.66
1027	4.65
1026	4.66
1025	4.66
1024	4.66
1023	4.66
1022	4.66
1021	4.66
1020	4.66
1019	4.66
1018	4.66
1017	4.65
1016	4.66
1015	4.64
1014	4.65
1013	4.65
1012	4.64
1011	4.64
1010	4.64
1009	4.64
1008	4.65
1007	4.65
1006	4.63
1005	4.63
1004	4.64
1003	4.64
1002	4.64
1001	4.63
1000	4.64
0959	4.63
0958	4.64
0957	4.64
0956	4.64
0955	4.64
0954	4.64
0953	4.64
0952	4.64
0951	4.64
0950	4.64
0949	4.64
0948	4.64
0947	4.65
0946	4.64
0945	4.63
0944	4.63
0943	4.63
0942	4.63
0941	4.63
0940	4.64
0939	4.63
0938	4.64
0937	4.63
0936	4.64
0935	4.65
0934	4.66
0933	4.66
0932	4.66
0931	4.66
0930	4.67
1600	4.66
1559	4.66
1558	4.66
1557	4.66
1556	4.65
1555	4.65
1554	4.65
1553	4.66
1552	4.65
1551	4.65
1550	4.66
1549	4.66
1548	4.66
1547	4.65
1546	4.65
1545	4.66
1544	4.66
1543	4.66
1542	4.66
1541	4.64
1540	4.64
1539	4.64
1538	4.64
1537	4.64
1536	4.64
1535	4.64
1534	4.64
1533	4.64
1532	4.64
1531	4.64
1530	4.64
1529	4.63
1528	4.64
1527	4.64
1526	4.63
1525	4.63
1524	4.64
1523	4.64
1522	4.64
1521	4.63
1520	4.63
1519	4.63
1518	4.63
1517	4.63
1516	4.64
1515	4.64
1514	4.63
1513	4.63
1512	4.64
1511	4.63
1510	4.63
1509	4.63
1508	4.63
1507	4.62
1506	4.63
1505	4.63
1504	4.62
1503	4.63
1502	4.63
1501	4.63
1500	4.62
1459	4.62
1458	4.63
1457	4.63
1456	4.62
1455	4.63
1454	4.63
1453	4.62
1452	4.63
1451	4.62
1450	4.63
1449	4.63
1448	4.62
1447	4.63
1446	4.63
1445	4.62
1444	4.63
1443	4.63
1442	4.63
1441	4.62
1440	4.62
1439	4.63
1438	4.63
1437	4.63
1436	4.62
1435	4.63
1434	4.63
1433	4.63
1432	4.63
1431	4.63
1430	4.63
1429	4.63
1428	4.63
1427	4.63
1426	4.63
1425	4.63
1424	4.63
1423	4.62
1422	4.62
1421	4.63
1420	4.63
1419	4.62
1418	4.63
1417	4.62
1416	4.62
1415	4.63
1414	4.62
1413	4.62
1412	4.63
1411	4.63
1410	4.63
1409	4.63
1408	4.62
1407	4.62
1406	4.63
1405	4.63
1404	4.63
1403	4.64
1402	4.64
1401	4.64
1400	4.63
1359	4.63
1358	4.63
1357	4.63
1356	4.63
1355	4.64
1354	4.62
1353	4.63
1352	4.64
1351	4.64
1350	4.64
1349	4.63
1348	4.63
1347	4.64
1346	4.64
1345	4.64
1344	4.64
1343	4.64
1342	4.64
1341	4.64
1340	4.64
1339	4.63
1338	4.63
1337	4.63
1336	4.63
1335	4.63
1334	4.63
1333	4.63
1332	4.63
1331	4.63
1330	4.63
1329	4.63
1328	4.64
1327	4.64
1326	4.64
1325	4.63
1324	4.64
1323	4.64
1322	4.64
1321	4.64
1320	4.64
1319	4.62
1318	4.62
1317	4.63
1316	4.63
1315	4.63
1314	4.63
1313	4.64
1312	4.64
1311	4.63
1310	4.63
1309	4.63
1308	4.63
1307	4.63
1306	4.63
1305	4.63
1304	4.64
1303	4.64
1302	4.64
1301	4.63
1300	4.63
1200	4.64
1159	4.64
1158	4.63
1157	4.63
1156	4.63
1155	4.62
1154	4.63
1153	4.62
1152	4.63
1151	4.63
1150	4.62
1149	4.62
1148	4.63
1147	4.64
1146	4.63
1145	4.63
1144	4.63
1143	4.63
1142	4.63
1141	4.63
1140	4.62
1139	4.62
1138	4.63
1137	4.63
1136	4.63
1135	4.62
1134	4.62
1133	4.63
1132	4.63
1131	4.63
1130	4.62
1129	4.62
1128	4.63
1127	4.63
1126	4.62
1125	4.62
1124	4.62
1123	4.61
1122	4.61
1121	4.61
1120	4.61
1119	4.61
1118	4.62
1117	4.61
1116	4.61
1115	4.62
1114	4.61
1113	4.62
1112	4.62
1111	4.61
1110	4.62
1109	4.61
1108	4.61
1107	4.62
1106	4.63
1105	4.63
1104	4.63
1103	4.62
1102	4.63
1101	4.63
1100	4.63
1059	4.63
1058	4.63
1057	4.62
1056	4.63
1055	4.63
1054	4.62
1053	4.63
1052	4.63
1051	4.63
1050	4.63
1049	4.62
1048	4.63
1047	4.62
1046	4.63
1045	4.63
1044	4.62
1043	4.63
1042	4.62
1041	4.62
1040	4.62
1039	4.62
1038	4.63
1037	4.63
1036	4.63
1035	4.63
1034	4.63
1033	4.63
1032	4.62
1031	4.63
1030	4.63
1029	4.63
1028	4.63
1027	4.63
1026	4.63
1025	4.63
1024	4.63
1023	4.63
1022	4.62
1021	4.64
1020	4.63
1019	4.63
1018	4.63
1017	4.62
1016	4.63
1015	4.63
1014	4.63
1013	4.63
1012	4.63
1011	4.63
1010	4.63
1009	4.62
1008	4.62
1007	4.63
1006	4.63
1005	4.62
1004	4.62
1003	4.62
1002	4.63
1001	4.63
1000	4.63
0959	4.64
0958	4.64
0957	4.62
0956	4.62
0955	4.63
0954	4.63
