代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
01899	兴达国际	-0.75	23824610	--  	--  	8974900	223000	-0.38	          0.60	  1.45	2.710	
00220	统一企业中国	1.56	23812574	6.530	6.540	3661620	342000	-0.15	          0.08	  0.84	6.450	
01238	宝龙地产	0.74	23780732	4.080	4.100	5728800	41000	0.00	          0.14	  2.34	4.260	
03309	希玛眼科	0.97	23648212	--  	--  	2266500	2000	0.58	          0.22	  0.86	10.520	
03836	和谐汽车	0.76	23611466	5.280	5.290	4486515	29000	0.38	          0.29	  1.48	5.480	
00683	嘉里建设	-0.83	23565568	35.950	36.000	655706	169500	0.14	          0.05	  0.32	36.200	
00991	大唐发电	2.61	23474628	2.350	2.360	9964900	468000	0.43	          0.16	  1.27	2.310	
01893	中材股份	2.82	23380052	--  	--  	3404000	1000	0.29	          0.29	  0.78	6.800	
03360	远东宏信	2.31	23352180	8.850	8.860	2643151	281000	-0.11	          0.07	  0.53	8.810	
00970	耀莱集团	-2.94	23136502	--  	--  	46740000	8000	1.02	          0.95	  1.22	0.510	
06068	睿见教育	0.17	23041382	5.830	5.860	3927000	72000	-0.17	          0.19	  0.59	5.820	
00173	嘉华国际	0.19	22582128	5.220	5.230	4322111	130000	0.19	          0.14	  0.49	5.260	
01632	膳源控股	6.71	22457688	--  	--  	3627426	6000	0.16	          1.81	  1.31	5.820	
01499	前进控股集团	1.39	22403502	--  	--  	29360000	310000	0.00	          0.56	  6.47	0.740	
00059	天誉置业	1.41	22224882	--  	--  	3844000	18000	0.00	          0.15	  0.84	5.750	
00272	瑞安房地产	2.34	21919678	2.180	2.190	10084055	454500	0.00	          0.13	  0.56	2.160	
00699	神州租车	2.50	21882440	6.960	6.970	3129298	169000	-0.57	          0.15	  1.52	6.880	
00596	浪潮国际	4.84	21800182	--  	--  	8294000	2000	-0.38	          0.87	  9.86	2.550	
01862	景瑞控股	2.81	21730742	--  	--  	6594000	50000	0.00	          0.51	  0.98	3.240	
01777	花样年控股	4.00	21713146	1.550	1.560	14079000	579000	0.65	          0.24	  0.58	1.530	
01383	太阳城集团	-3.64	21611832	--  	--  	19955000	10000	0.95	          0.33	  0.42	1.120	
03983	中海石油化学	7.18	21405962	--  	--  	9598000	130000	0.45	          0.54	  1.68	2.180	
01066	威高股份	-1.47	21391124	5.350	5.360	3990908	324000	-0.37	          0.21	  1.16	5.460	
00242	信德集团	2.05	21200020	3.460	3.480	6086110	54000	-0.29	          0.20	  1.76	3.430	
06826	昊海生物科技	6.04	21129686	--  	--  	452700	2000	0.64	          1.13	  4.72	45.000	
00178	莎莎国际	2.28	21078810	4.010	4.030	5212174	288000	0.75	          0.17	  0.71	3.960	
01183	澳能建设	7.60	21016600	--  	--  	11812000	10000	1.10	          0.98	  3.03	1.740	
00008	电讯盈科	0.88	20263668	4.550	4.560	4442139	1181000	0.22	          0.06	  0.55	4.560	
00330	思捷环球	1.09	20232238	2.790	2.800	7291423	436300	0.00	          0.39	  1.08	2.820	
03331	维达国际	1.43	20013510	14.080	14.180	1421000	1000	1.14	          0.12	  3.86	14.480	
03618	重庆农村商业银行	1.47	19919122	6.230	6.240	3191388	315000	0.16	          0.13	  0.40	6.250	
00087	太古股份公司Ｂ	-0.44	19737350	13.520	13.540	1457500	15000	0.15	          0.05	  1.09	13.660	
02727	上海电气	0.73	19729052	2.740	2.750	7169918	570000	0.36	          0.24	  0.57	2.750	
01622	力高集团	2.20	19703492	3.690	3.710	5385575	42000	0.27	          0.15	  0.87	3.630	
01982	南旋控股	1.66	19670980	--  	--  	10608179	2000	0.00	          0.47	  0.69	1.900	
00950	李氏大药厂	2.38	19557652	--  	--  	1749375	4500	0.54	          0.30	  0.58	11.300	
01727	河北建设	2.36	19157160	--  	--  	3727500	6000	0.00	          0.81	  0.79	5.100	
01618	中国中冶	-1.32	19126490	2.240	2.250	8501516	101000	0.00	          0.30	  1.14	2.280	
01061	亿胜生物科技	0.63	18940980	--  	--  	2344000	1000	0.13	          0.42	  0.76	8.000	
01848	中国飞机租赁	2.56	18590900	8.420	8.430	2216500	2500	0.00	          0.33	  1.71	8.240	
00552	中国通信服务	0.68	18357532	4.450	4.470	4146553	222000	-0.22	          0.17	  1.23	4.460	
06158	正荣地产	2.68	18298720	--  	--  	3695010	8000	0.61	          0.09	  0.73	4.950	
00590	六福集团	1.88	18197428	27.050	27.100	672240	14000	0.00	          0.11	  0.72	27.000	
01205	中信资源	3.57	18074578	0.860	0.870	20614790	26000	0.00	          0.26	  2.97	0.850	
01060	阿里影业	0.99	18034870	1.020	1.030	17688368	1240000	0.00	          0.07	  0.72	1.030	
02039	中集集团	1.30	17671698	12.420	12.480	1412430	11200	0.16	          0.08	  0.74	12.600	
02099	中国黄金国际	1.08	17496164	16.880	16.920	1033300	11800	-0.24	          0.26	  0.54	17.040	
03768	滇池水务	2.64	17413500	--  	--  	6348000	3000	-0.37	          1.87	 15.24	2.760	
00855	中国水务	0.50	17216158	8.040	8.070	2157893	36000	0.00	          0.13	  0.52	8.050	
00548	深圳高速公路股份	0.90	17177272	7.840	7.860	2202004	28000	0.13	          0.29	  1.62	7.800	
00689	长盈集团（控股）	-1.08	16897976	--  	--  	18197076	30000	-1.08	          0.36	  1.13	0.930	
00511	电视广播	-0.20	16773347	25.000	25.050	669062	91600	0.00	          0.15	  0.79	25.050	
01131	鸿宝资源	0.00	16682051	--  	--  	13545000	20000	0.00	          0.21	  1.03	1.230	
00660	伟俊矿业集团	3.64	16623731	--  	--  	302209984	200000	0.00	          1.82	770.94	0.055	
01330	绿色动力环保	2.44	16450701	--  	--  	3941000	10000	-0.24	          0.97	  0.97	4.080	
00525	广深铁路股份	0.43	16367694	4.720	4.740	3451638	108000	-0.21	          0.24	  1.03	4.750	
01212	利福国际	1.38	16322353	13.200	13.220	1249808	112500	0.61	          0.08	  0.22	13.000	
00400	科通芯城	2.73	16296501	4.510	4.520	3597000	79000	0.22	          0.24	  0.75	4.450	
01666	同仁堂科技	0.45	16217781	13.220	13.300	1221420	27000	-0.30	          0.19	  0.64	13.280	
00861	神州控股	5.83	16212525	4.540	4.550	3608990	62000	0.22	          0.22	  2.30	4.310	
00685	世界华文媒体	-0.56	16108981	--  	--  	9006000	200000	0.56	          0.53	  0.70	1.900	
01381	粤丰环保	0.66	16015836	4.580	4.590	3495000	11000	-0.65	          0.14	  1.02	4.570	
00754	合生创展集团	3.04	15914476	8.780	8.800	1814020	92000	0.11	          0.08	  0.96	8.720	
01705	宾仕国际	-5.29	15496221	--  	--  	4661000	4000	-0.62	          1.17	  0.19	3.500	
00363	上海实业控股	0.96	15313272	20.900	21.000	730477	124000	0.48	          0.07	  0.62	20.950	
00508	鼎亿集团投资	-2.30	15145351	0.850	0.860	17640000	2555000	0.00	          0.25	  1.37	0.870	
00921	海信科龙	2.03	15050982	9.030	9.040	1645000	3000	-0.11	          0.36	  1.09	9.100	
01052	越秀交通基建	-0.49	14944617	6.070	6.080	2459101	102000	0.00	          0.15	  0.88	6.170	
01029	铁货	-1.10	14823853	--  	--  	80726000	50000	0.56	          1.14	  0.48	0.185	
00440	大新金融	1.31	14799891	50.200	50.250	294245	12400	0.00	          0.09	  0.73	50.200	
01361	３６１度	1.98	14650878	2.560	2.570	5792410	24000	0.39	          0.28	  1.10	2.550	
02006	锦江酒店	1.76	14623387	--  	--  	4237410	62000	0.29	          0.30	  0.60	3.460	
00771	自动系统	6.67	14610366	--  	--  	8259546	2000	0.00	          1.23	  0.60	1.670	
01980	天鸽互动	0.45	14447705	6.740	6.770	2130416	98000	0.45	          0.17	  0.41	6.810	
