代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
08329	海王英特龙	0.00	7500	--  	--  	20000	20000	0.00	          0.00	  0.11	0.375	0.375	
08080	北亚策略	-3.70	5608	--  	--  	43000	16000	-3.70	          0.00	  0.03	0.126	0.135	
08150	无缝绿色	-9.23	4680	--  	--  	40000	40000	0.85	          0.00	  0.08	0.117	0.117	
08377	申酉控股	-6.25	4500	--  	--  	10000	10000	0.00	          0.00	  0.01	0.450	0.450	
08060	国联通信	-1.44	4110	--  	--  	30000	30000	0.00	          0.00	  0.26	0.137	0.137	
08082	仁智国际集团	-2.61	3360	--  	--  	15000	15000	0.00	          0.00	  0.09	0.224	0.224	
08211	浙江永安	0.89	2360	--  	--  	10000	10000	-3.81	          0.00	  0.03	0.236	0.236	
08041	荟萃国际（控股）	2.94	2100	--  	--  	20000	20000	0.00	          0.00	  0.01	0.105	0.105	
08212	誉满国际控股	5.99	1416	--  	--  	8000	8000	0.00	          0.00	  0.02	0.177	0.177	
08103	万泰企业股份	0.00	990	--  	--  	1000	1000	0.00	          0.00	  0.03	--  	1.200	
08343	宏光照明	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.900	
08341	艾硕控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	2.700	
08319	思博系统	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.150	
08317	财华社集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.870	
08316	柏荣集团控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	1.600	
08306	中国有色金属	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.201	
08297	芭迪贝伊	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.255	
08293	星亚控股	--  	0	--  	--  	0	0	--  	          0.00	  0.00	--  	--  	
08286	长城微光	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.255	
08281	中国金典集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.290	
08280	中国数字视频	-1.37	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.720	
08273	浙江展望	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	1.350	
08270	中国煤层气	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.070	
08261	海天能源	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08260	银合控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.600	
08252	泰和小贷	-0.42	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	2.390	
08239	首都金融控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.108	
08235	赛迪顾问	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.260	
08233	中国基建港口	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08215	FIRST CREDIT	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.108	
08206	神通机器人教育	1.33	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.380	
08205	交大慧谷	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.320	
08197	北斗嘉药业	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.320	
08190	康佰控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.061	
08182	中国糖果	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.113	
08173	万亚企业控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.027	
08172	拉近网娱	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.350	
08162	港银控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.495	
08161	医汇集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.081	
08155	南华资产控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.049	
08139	长安仁恒	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	3.200	
08131	辰罡科技	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.177	
08125	仁德资源	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.450	
08122	德莱建业	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08115	上海青浦消防	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.640	
08106	升华兰德	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.385	
08098	昌利控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.144	
08092	ITE HOLDINGS	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.082	
08077	昆仑国际金融	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08075	寰亚传媒	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.193	
08069	纵横游控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.820	
08063	环球大通集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.110	
08051	讯智海	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	12.600	
08038	金力集团	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08033	爱达利网络	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.285	
08031	易通讯集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.900	
08016	长虹佳华	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.820	
08012	环宇物流（亚洲）	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08008	新意网集团	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08003	世大控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.071	
08595	御德国际控股股权	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08593	西安海天天四千	--  	0	--  	--  	0	0	--  	--  	--  	--  	--  	
08592	罗马集团股权	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08591	罗马集团（旧）	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08590	L&A INTL-OLD	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08442	桦欣控股	-0.22	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	9.230	
08409	海鑫集团	-2.38	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.410	
08405	恒智控股	-1.08	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.920	
08370	智升集团控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	1.020	
08369	立基工程控股	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	--  	
08368	中国创意控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.231	
08360	利骏集团香港	-1.16	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.170	
08351	俊文宝石	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	0.360	
08348	滨海泰达物流	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	1.090	
08345	火岩控股	0.68	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	5.880	
数据来源:通达信
