代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
00347	鞍钢股份	-1.81	156543088	-0.130	7.060	7.070	22211744	254000	0.43	          2.05	7.020	
600373	中文传媒	-0.20	155433232	-0.03	14.94	14.97	105360	2	-0.26	          0.76	14.93	
02669	中海物业	-5.28	145335184	-0.140	2.510	2.520	58619576	235000	0.40	          1.78	2.610	
03311	中国建筑国际	-1.91	138660416	-0.190	9.720	9.740	14249278	1880000	0.41	          0.28	9.880	
600297	广汇汽车	-1.49	130543544	-0.11	7.28	7.29	182552	10	-0.13	          0.76	7.23	
600704	物产中大	3.82	129154656	0.24	6.52	6.53	201444	15	0.15	          1.51	6.25	
00932	顺腾国际控股	-0.86	127842968	-0.010	--  	--  	110940000	20000	0.00	          5.25	1.160	
000887	中鼎股份	4.04	127691440	0.65	16.69	16.75	79478	483	0.84	          0.65	15.89	
000008	神州高铁	-0.43	123599008	-0.03	7.01	7.02	177173	3784	0.43	          0.69	7.04	
00696	中国民航信息网络	-3.86	120285800	-0.950	23.650	23.700	5101571	325000	0.42	          0.55	24.250	
600308	华泰股份	-1.82	115855232	-0.11	5.92	5.93	195958	50	0.00	          1.68	6.00	
603678	火炬电子	6.90	115851064	1.57	24.33	24.42	49179	4	0.16	          1.09	22.51	
002445	中南文化	0.41	114352984	0.05	12.25	12.26	96008	13608	1.49	          1.27	11.98	
600978	宜华生活	4.27	114214664	0.33	8.06	8.09	147817	506	0.75	          1.00	7.66	
002502	骅威文化	2.94	104881504	0.21	7.36	7.37	147680	1805	-0.13	          2.53	7.05	
300242	明家联合	0.30	89404536	0.02	6.64	6.65	138599	3179	0.91	          2.73	6.50	
601021	春秋航空	1.06	89097816	0.32	30.61	30.64	29420	9	0.46	          0.37	30.32	
000955	欣龙控股	0.46	87446256	0.03	6.49	6.52	136864	2698	0.93	          2.54	6.54	
000620	新华联	3.85	87285712	0.24	6.46	6.47	142412	3711	1.09	          0.78	5.88	
002496	辉丰股份	1.11	87122856	0.05	4.57	4.58	193861	1852	0.00	          1.89	4.47	
01462	金诚控股	1.43	86114904	0.040	--  	--  	31030000	4000	1.07	          0.78	2.800	
002617	露笑科技	0.57	83831328	0.08	14.21	14.22	60233	2021	0.42	          0.86	14.04	
300006	莱美药业	3.44	78280088	0.18	5.42	5.43	151277	2578	0.18	          2.59	5.10	
03606	福耀玻璃	0.16	77543120	0.050	30.350	30.400	2547200	139200	0.00	          0.50	30.300	
002197	证通电子	0.63	75117592	0.06	9.58	9.59	80321	427	-0.20	          1.85	9.26	
002588	史丹利	-0.14	71030696	-0.01	7.10	7.11	102583	840	0.71	          1.45	7.00	
