代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
01177	中国生物制药	5.03	536471232	15.020	15.000	15.020	36265440	1334000	0.13	          0.49	
00981	中芯国际	4.72	535920736	10.660	10.640	10.660	50752000	946000	0.19	          1.03	
600837	海通证券	1.89	534144800	12.38	12.38	12.39	435334	20	0.24	          0.54	
000681	视觉中国	7.90	532849856	25.40	25.40	25.41	216441	2048	-0.34	          7.73	
300168	万达信息	4.12	532832608	14.90	14.89	14.90	360636	8023	-0.06	          3.58	
02238	广汽集团	0.99	532755616	18.340	18.300	18.340	29047012	1100000	0.00	          1.31	
600547	山东黄金	1.68	524457984	26.62	26.64	26.65	198667	24	0.23	          1.37	
603056	德邦股份	10.02	521304160	21.52	21.52	--  	244409	7	0.00	         24.44	
002320	海峡股份	4.23	520125408	24.16	24.16	24.17	216908	2094	0.04	         10.48	
600018	上港集团	1.36	519499392	7.48	7.47	7.48	695501	34	0.13	          0.31	
300451	创业软件	0.31	515728896	32.13	32.13	32.14	159811	2593	0.19	         12.38	
601628	中国人寿	1.80	514089760	27.75	27.75	27.76	187078	10	0.00	          0.09	
600348	阳泉煤业	0.00	513606400	8.99	8.98	8.99	570579	5	0.22	          2.37	
000735	罗 牛 山	3.54	513426592	8.18	8.18	8.19	637431	8709	0.12	          6.02	
002281	光迅科技	10.02	510470912	26.25	26.25	--  	201693	352	0.00	          3.24	
00914	海螺水泥	3.53	510298720	44.000	44.000	44.050	11706308	1036000	0.23	          0.90	
002371	北方华创	10.02	510060608	32.40	32.40	--  	161644	1248	0.03	          4.62	
300684	中石科技	3.09	509349824	52.10	52.09	52.10	99235	1297	-0.49	         45.69	
300271	华宇软件	9.70	507143840	17.87	17.82	17.87	295703	10412	0.68	          5.97	
00966	中国太平	2.29	506844800	31.300	31.250	31.300	16306745	351400	0.00	          0.45	
000672	上峰水泥	2.28	506427520	12.55	12.55	12.56	410343	6864	0.16	          5.04	
000898	鞍钢股份	0.27	505748288	7.50	7.49	7.50	671772	5374	0.54	          1.09	
002078	太阳纸业	4.34	505137408	12.75	12.75	12.76	398809	5471	0.16	          1.58	
600760	中航沈飞	5.61	504620864	27.65	27.63	27.64	185999	34	0.62	          5.39	
00823	领展房产基金	3.14	503964576	67.250	--  	--  	7544348	824500	-0.15	--  	
01088	中国神华	0.21	503217984	23.400	23.350	23.400	21448256	1218500	0.21	          0.63	
600569	安阳钢铁	1.94	494650720	5.26	5.25	5.26	938150	20	0.38	          3.92	
002285	世联行	5.82	493573760	10.18	10.17	10.18	489822	4463	-0.19	          2.88	
600093	易见股份	3.60	491513632	14.39	14.40	14.41	340422	57	-0.06	         10.56	
300072	三聚环保	3.77	489960096	33.61	33.61	33.62	147628	1345	-0.02	          1.07	
600808	马钢股份	1.17	489268576	4.34	4.34	4.35	1125527	100	0.00	          1.89	
600497	驰宏锌锗	2.54	488260192	7.27	7.26	7.27	678296	74	0.55	          1.57	
000933	神火股份	0.61	485501120	8.24	8.23	8.24	588830	7544	-0.11	          3.10	
600171	上海贝岭	6.50	484751520	13.28	13.27	13.28	373394	27	0.00	          5.54	
00001	长和	0.81	483082368	100.100	100.100	100.200	4830552	465000	0.10	          0.13	
