代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
06118	奥星生命科技	-2.03	2670120	2.900	--  	--  	931000	1000	1.05	          0.18	
01571	信邦控股	-2.34	2618040	6.250	--  	--  	419000	1000	0.00	          0.04	
00816	华电福新	-2.00	2505642	1.960	1.960	1.970	1265511	68000	-0.51	          0.05	
01041	林达控股	-2.94	2504490	0.495	--  	--  	5017500	10000	0.00	          0.43	
00636	嘉里物流	-0.92	2325358	10.820	10.780	10.820	215800	25000	0.74	          0.01	
08090	中国融保金融集团	-3.30	2200960	0.880	--  	--  	2474000	6000	0.00	          0.14	
08181	港深联合	-9.09	2176720	0.350	--  	--  	6336000	80000	0.00	          0.74	
02448	恒宇集团	-5.30	2164700	1.250	--  	--  	1700000	15000	-3.10	          0.22	
07321	ＦＩ华夏恒指	-0.86	2097346	5.740	--  	--  	365100	1000	0.00	--  	
00052	FAIRWOOD HOLD	-1.07	2024900	32.450	--  	--  	62000	2500	-0.15	          0.05	
数据来源:通达信
