代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600093	易见股份	2.37	526610560	13.38	13.40	13.41	388824	44	-0.21	         12.06	13.25	
603056	德邦股份	3.95	521985312	21.04	20.99	21.00	247424	308	-0.08	         24.74	21.35	
300226	上海钢联	10.01	521519296	56.83	56.83	--  	94908	30	0.00	          6.30	52.98	
601998	中信银行	-2.75	521279552	6.71	6.71	6.72	773805	51	-0.14	          0.24	6.83	
300166	东方国信	6.22	519133376	13.67	13.67	13.68	377715	3290	-0.21	          4.68	12.86	
002050	三花智控	7.47	516598272	19.00	19.00	19.01	277748	2371	-1.03	          1.78	17.90	
601233	桐昆股份	7.26	516310784	23.34	23.33	23.36	227789	135	-0.54	          1.89	22.00	
600581	八一钢铁	1.26	512701408	14.46	14.44	14.47	363219	149	0.84	          4.74	14.15	
300014	亿纬锂能	10.00	499876096	17.27	17.27	--  	299361	2359	0.00	          3.65	15.81	
300015	爱尔眼科	7.05	497771808	33.69	33.68	33.69	149598	2074	-0.17	          1.25	31.68	
300418	昆仑万维	6.55	497688832	22.62	22.61	22.62	224048	1538	-0.12	          3.83	21.66	
600068	葛洲坝	1.20	490884096	8.45	8.44	8.45	587774	31	0.24	          1.28	8.40	
300738	奥飞数据	3.76	490361888	61.20	61.20	61.21	79604	2713	0.62	         48.78	60.62	
603444	吉比特	-0.01	490029696	151.57	151.48	151.50	33762	2	0.00	          8.22	149.90	
000786	北新建材	3.24	483384192	21.99	21.99	22.00	221530	2304	-0.13	          1.57	21.35	
000717	韶钢松山	-2.57	482347744	6.83	6.83	6.84	707564	6559	-0.28	          2.92	6.90	
000983	西山煤电	-1.51	479926144	9.11	9.11	9.12	529784	5405	0.22	          1.68	9.20	
300212	易华录	7.48	479466144	31.60	31.59	31.60	155987	2870	0.22	          5.11	29.40	
002594	比亚迪	5.24	475216160	59.62	59.62	59.63	80515	785	0.10	          0.71	57.10	
600588	用友网络	10.00	469266624	26.73	26.73	--  	179156	11	0.00	          1.23	24.32	
601006	大秦铁路	-0.77	468666272	9.07	9.06	9.07	515047	92	-0.10	          0.35	9.03	
002601	龙蟒佰利	2.00	466870528	16.87	16.87	16.88	280029	1880	-0.17	          4.17	16.70	
000960	锡业股份	1.19	466606560	13.59	13.59	13.60	343213	4514	-0.14	          2.84	13.48	
600900	长江电力	-2.32	466138560	15.60	15.60	15.61	298429	552	-0.05	          0.26	15.75	
