代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601699	潞安环能	0.08	805411584	12.49	12.50	12.51	644593	45	-0.23	          2.15	12.22	
002176	江特电机	0.50	802749760	12.00	12.00	12.01	671487	8168	0.00	          4.86	11.69	
600050	中国联通	-0.31	795311680	6.40	6.40	6.41	1241564	160	0.16	          0.59	6.38	
600271	航天信息	6.70	791919552	21.50	21.51	21.52	377346	185	0.70	          2.04	20.04	
300136	信维通信	0.55	789170176	40.33	40.32	40.33	197171	3475	0.10	          2.65	39.07	
601155	新城控股	0.89	777914816	34.19	34.20	34.22	226472	40	-0.14	          3.15	33.34	
002129	中环股份	0.99	770333504	9.19	9.18	9.19	845276	18369	0.33	          3.20	8.98	
600093	易见股份	6.06	769464128	16.27	16.27	16.28	491489	25	0.56	         15.24	14.81	
601111	中国国航	-2.17	762954560	13.51	13.52	13.53	562841	70	0.30	          0.66	13.63	
300113	顺网科技	1.29	762843840	23.60	23.60	23.61	324958	9879	-0.24	          7.03	23.09	
601989	中国重工	-0.87	747586176	5.68	5.67	5.68	1318521	234	0.00	          0.72	5.66	
000488	晨鸣纸业	2.87	739259392	18.64	18.64	18.65	402389	8587	0.11	          3.64	17.88	
600196	复星医药	3.86	739217856	41.44	41.44	41.45	180089	26	0.05	          0.94	39.69	
600789	鲁抗医药	1.48	727600512	11.62	11.62	11.63	632638	1	-0.16	         10.88	11.43	
601678	滨化股份	8.29	723110912	10.06	10.04	10.05	733759	148	-0.39	          6.18	9.29	
002456	欧菲科技	1.07	720906560	21.82	21.81	21.82	333210	6745	0.00	          1.25	21.59	
600567	山鹰纸业	-0.38	720731200	5.25	5.24	5.25	1376147	66	0.38	          3.01	5.21	
601688	华泰证券	0.52	713677184	17.38	17.38	17.39	413031	103	0.12	          0.76	17.12	
600068	葛洲坝	-1.48	712600192	9.33	9.33	9.34	753636	8	0.00	          1.64	9.39	
000807	云铝股份	-2.19	700171520	8.48	8.47	8.48	824744	11659	0.36	          3.66	8.55	
601336	新华保险	-0.25	699478848	52.60	52.60	52.61	132772	34	0.10	          0.64	52.05	
000401	冀东水泥	1.81	698321280	14.09	14.09	14.10	495203	10343	-0.13	          3.68	13.75	
002110	三钢闽光	1.25	696440384	23.42	23.42	23.43	297987	3930	0.17	          3.01	22.89	
601601	中国太保	0.37	693166656	40.18	40.20	40.21	171648	1	0.07	          0.27	39.76	
001979	招商蛇口	-0.87	690293696	21.68	21.67	21.68	317372	3714	0.05	          1.67	21.60	
600740	山西焦化	-2.27	686630400	13.33	13.33	13.34	514747	29	0.53	          7.84	13.25	
600111	北方稀土	-0.23	679875904	13.06	13.07	13.08	522760	58	0.00	          1.44	12.91	
601988	中国银行	-0.24	679437248	4.22	4.21	4.22	1608002	838	0.00	          0.08	4.20	
300271	华宇软件	6.07	674697664	19.22	19.22	19.23	360656	5148	0.21	          7.28	18.23	
601766	中国中车	-0.67	674627008	10.38	10.37	10.38	649050	93	0.10	          0.28	10.35	
300251	光线传媒	2.16	669170880	12.77	12.76	12.77	526739	11522	0.08	          1.91	12.40	
002601	龙蟒佰利	3.96	669107264	18.92	18.92	18.93	358311	4118	0.05	          5.33	18.00	
002440	闰土股份	0.43	665697472	23.58	23.58	23.59	278211	3472	0.00	          4.54	23.40	
600016	民生银行	0.12	665053952	8.50	8.50	8.51	783134	18	0.00	          0.27	8.44	
600690	青岛海尔	0.15	663934912	19.59	19.58	19.59	338422	1	-0.04	          0.56	19.35	
300088	长信科技	3.11	656922752	7.63	7.63	7.64	873973	7494	0.00	          3.87	7.34	
002475	立讯精密	3.59	650781952	25.37	25.37	25.38	260393	2085	0.40	          0.82	24.40	
600362	江西铜业	-0.60	650395456	18.32	18.33	18.34	356322	317	0.27	          1.72	18.17	
300353	东土科技	9.99	647342400	15.74	15.74	--  	429476	536	0.00	         13.10	15.00	
002907	华森制药	9.99	644574528	37.32	37.32	--  	181397	376	0.00	         45.28	33.43	
300168	万达信息	5.22	642381440	15.33	15.33	15.34	426325	7757	0.26	          4.23	14.43	
603056	德邦股份	10.00	640348992	23.55	23.55	--  	285611	26	0.00	         28.56	20.89	
300216	千山药机	-0.28	638908928	10.67	10.66	10.67	595142	12562	0.09	         22.80	10.45	
002635	安洁科技	1.90	629506112	23.58	23.58	23.59	271327	6877	0.47	          8.51	22.78	
600549	厦门钨业	0.72	616860480	25.21	25.21	25.22	247678	125	0.28	          2.29	24.75	
002027	分众传媒	-0.27	616708352	14.98	14.98	14.99	414741	6438	0.54	          0.71	14.90	
601838	成都银行	0.79	616502272	12.70	12.70	12.71	490156	162	0.08	         13.57	12.42	
300182	捷成股份	2.75	615686336	10.48	10.47	10.48	592852	8453	0.38	          4.26	10.17	
300107	建新股份	2.74	613923904	9.76	9.76	9.77	631899	6172	0.31	         19.30	9.57	
300009	安科生物	10.00	610647936	25.53	25.53	--  	244947	939	0.00	          5.31	23.25	
603156	养元饮品	0.49	607342400	82.31	82.31	82.32	74013	36	0.00	         17.19	80.50	
300644	南京聚隆	4.85	604347008	54.70	54.68	54.70	112276	1666	-0.17	         70.17	51.30	
600172	黄河旋风	5.57	603218048	9.09	9.09	9.10	675268	153	0.33	          5.77	8.73	
002153	石基信息	4.65	602088320	29.72	29.72	29.73	206622	1708	0.03	          4.26	28.19	
300418	昆仑万维	1.59	594817536	24.85	24.85	24.86	241377	7829	0.08	          4.13	24.30	
600596	新安股份	0.28	583591040	14.28	14.26	14.28	409045	32	0.00	          6.02	14.24	
002024	苏宁易购	0.80	583000896	12.60	12.59	12.60	465496	6237	0.24	          0.93	12.40	
600782	新钢股份	-0.64	578213568	7.78	7.77	7.78	742975	30	0.26	          2.67	7.70	
300236	上海新阳	3.09	575838976	32.06	32.05	32.06	181498	2855	0.50	         10.23	30.41	
002065	东华软件	6.13	573324480	8.65	8.64	8.65	677792	11103	0.23	          2.42	8.09	
000789	万年青	2.70	571544000	11.05	11.05	11.06	519396	5827	0.55	          8.47	10.62	
002371	北方华创	5.85	569832576	35.65	35.65	35.66	164688	1349	0.03	          4.70	33.25	
002018	华信国际	-4.45	567406592	5.15	5.14	5.15	1138644	6946	0.00	          5.00	4.89	
600188	兖州煤业	-0.95	567096960	15.59	15.59	15.60	362905	41	0.13	          1.23	15.40	
000816	智慧农业	2.04	565296064	4.00	3.99	4.00	1411135	25885	0.50	         10.56	3.80	
000960	锡业股份	-2.63	563080384	14.82	14.81	14.82	378252	5340	0.00	          3.13	14.97	
300188	美亚柏科	5.03	558116544	24.45	24.45	24.46	232162	1504	0.25	          7.56	22.90	
000997	新 大 陆	10.03	551783616	18.87	18.87	--  	303727	11903	0.86	          3.27	17.06	
300073	当升科技	3.19	550397696	25.90	25.90	25.91	217747	2931	0.08	          6.53	24.53	
002638	勤上股份	4.92	547002496	5.54	5.54	5.55	969230	11799	0.91	          9.90	5.40	
