代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000518	四环生物	7.35	153303968	0.46	6.71	6.72	235520	2308	-0.14	          2.29	6.32	
002883	中设股份	10.00	152917632	4.72	51.94	--  	30479	26	0.00	         22.86	46.50	
300693	盛弘股份	5.10	152814496	1.64	33.81	33.85	46660	741	0.33	         20.46	32.00	
600285	羚锐制药	4.61	149237472	0.43	9.76	9.77	154017	18	0.00	          2.88	9.31	
002722	金轮股份	4.21	148837280	0.95	23.50	23.51	63111	431	0.00	          6.18	22.59	
002910	庄园牧场	4.21	146189824	0.78	19.30	19.31	76983	1614	0.00	         16.44	18.46	
002350	北京科锐	5.21	144963296	0.47	9.49	9.50	154988	1563	-0.10	          4.12	9.02	
601200	上海环境	2.61	144674240	0.54	21.24	21.25	68758	69	0.09	          1.02	20.84	
601326	秦港股份	3.64	142722032	0.20	5.69	5.70	256749	100	1.07	          4.60	5.45	
600284	浦东建设	4.06	141260384	0.35	8.98	8.99	155437	20	-0.21	          2.24	9.11	
603903	中持股份	5.81	140505600	1.87	34.02	34.05	43015	24	0.50	         16.80	30.00	
600480	凌云股份	3.93	138764240	0.54	14.27	14.28	98818	10	0.07	          2.73	13.71	
002743	富煌钢构	7.28	138588512	0.66	9.72	9.73	145379	1691	0.00	          4.38	9.12	
600267	海正药业	2.96	138052304	0.42	14.59	14.60	94543	73	-0.06	          0.98	14.15	
600963	岳阳林纸	3.28	137561568	0.20	6.30	6.31	220414	74	0.00	          2.11	6.10	
300685	艾德生物	5.94	137022800	5.89	104.98	105.07	13263	71	-0.04	          6.63	100.15	
002332	仙琚制药	4.74	136414000	0.39	8.61	8.62	158768	977	0.00	          2.20	8.21	
002477	雏鹰农牧	1.84	135692864	0.07	3.87	3.88	352865	7553	0.00	          1.89	3.82	
300100	双林股份	3.39	134844224	0.50	15.24	15.25	89016	1020	0.26	          2.30	14.75	
300642	透景生命	4.80	133884128	4.60	100.40	100.48	13515	462	-0.17	          9.01	96.27	
000017	深中华A	4.76	133632296	0.29	6.37	6.38	210523	1312	-0.30	          6.95	6.00	
603848	好太太	0.11	133215832	0.02	18.61	18.62	70770	17	-0.52	         17.26	18.85	
600062	华润双鹤	2.87	131212712	0.66	23.65	23.66	56159	65	0.08	          0.82	23.04	
600195	中牧股份	0.79	131039560	0.17	21.66	21.69	59937	18	0.14	          1.39	21.52	
