代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
000628	高新发展	1.36	42746496	9.67	9.54	0	44948	0.31	9.54	9.73	9.34	--  	0.00	4.09	0.13	   1210	9.67	0.000	344280.22	
002210	飞马国际	4.01	42675728	18.16	17.46	0	23912	0.05	17.50	18.20	17.34	--  	0.00	4.93	0.70	   1056	18.16	-0.000	2073283.63	
002581	未名医药	3.20	42287332	22.88	22.17	0	18837	0.00	22.10	22.94	22.01	--  	0.00	4.19	0.71	   1632	22.88	-0.000	272412.91	
300412	迦南科技	3.64	42099040	30.21	29.15	0	14194	-0.06	28.76	30.92	28.76	--  	0.00	7.41	1.06	   1167	30.20	-0.000	103132.10	
601101	昊华能源	2.23	42032264	6.87	6.72	0	62212	0.00	6.72	6.89	6.60	--  	0.00	4.32	0.15	   2177	6.86	-0.000	2045091.25	
000803	*ST金宇	5.00	41943112	24.97	23.78	0	16869	0.00	24.60	24.97	24.27	--  	0.00	2.94	1.19	    837	24.97	-0.000	53511.78	
000869	张 裕Ａ	2.37	41940072	33.26	32.49	0	12769	-0.06	32.50	33.28	32.30	--  	0.00	3.02	0.77	   1271	33.25	-0.000	1185781.25	
002483	润邦股份	3.87	41916132	10.73	10.33	0	39727	0.09	10.35	10.83	10.30	--  	0.00	5.13	0.40	   1429	10.72	-0.000	471101.16	
300040	九洲电气	3.64	41767032	10.83	10.45	0	39421	0.00	10.44	10.84	10.33	--  	0.00	4.88	0.38	   1873	10.83	-0.000	283098.72	
002605	姚记扑克	2.27	41176088	13.06	12.77	0	31821	-0.15	12.77	13.20	12.60	--  	0.00	4.70	0.29	   1299	13.05	0.000	207353.77	
603003	龙宇燃油	0.97	41038724	20.82	20.62	0	19811	0.00	20.60	21.05	20.43	--  	0.00	3.01	0.20	   1098	20.81	-0.000	561990.69	
002114	罗平锌电	2.20	40921192	18.09	17.70	0	22932	-0.22	17.75	18.16	17.59	--  	0.00	3.22	0.39	   1176	18.08	0.000	233327.02	
300282	汇冠股份	4.25	40873528	21.11	20.25	0	19755	0.04	20.03	21.22	20.03	--  	0.00	5.88	0.86	   1481	21.10	0.000	361103.56	
00811	新华文轩	0.15	40841508	6.890	6.880	1000	5936295	0.15	6.890	6.930	6.840	--  	4.86	1.31	0.010	    115	6.860	6.890	1225517.63	
02343	太平洋航运	2.11	40835864	1.450	1.420	1000	28419506	-0.68	1.410	1.470	1.380	4483800	0.00	6.34	0.030	    751	--  	1.450	210722.50	
002393	力生制药	1.84	40801456	34.85	34.22	0	11875	0.00	34.15	34.86	33.90	--  	0.00	2.81	0.63	    877	34.84	-0.000	354103.03	
600600	青岛啤酒	0.00	40775356	31.86	31.86	0	12819	-0.06	31.86	31.95	31.58	--  	0.00	1.16	0.00	   1297	31.87	0.000	3086847.75	
600680	*ST上普	3.67	40496932	14.41	13.90	0	28601	-0.13	13.80	14.47	13.80	--  	0.00	4.82	0.51	   1449	14.40	-0.000	277370.25	
300238	冠昊生物	1.84	40476508	25.44	24.98	0	16087	0.15	24.98	25.49	24.85	--  	0.00	2.56	0.46	    958	25.44	0.000	160968.47	
002663	普邦股份	1.13	40428216	5.35	5.29	0	76535	0.18	5.25	5.35	5.21	--  	0.00	2.65	0.06	   1929	5.35	-0.000	755446.00	
601808	中海油服	1.40	40392696	10.85	10.70	0	37437	0.00	10.74	10.86	10.71	--  	0.00	1.40	0.15	   1861	10.84	0.000	7950294.50	
