代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	
002684	猛狮科技	3.68	576524928	   101.06	        124.82亿	          7.89	电气设备	1364	0.23	22.00	23.34	23.34	20.50	
002686	亿利达	-2.01	34184392	    38.29	         53.88亿	          0.99	专用机械	366	0.00	12.17	12.36	12.49	11.95	
002708	光洋股份	-2.19	12896595	   142.11	         35.59亿	          0.73	汽车配件	230	-0.12	7.58	7.74	7.81	7.56	
002733	雄韬股份	1.43	147750304	    71.65	         67.08亿	          4.83	电气设备	2439	0.10	19.17	18.67	19.33	18.60	
002806	华锋股份	-0.07	317890112	   159.82	         38.43亿	         19.35	元器件	1092	-0.10	28.26	29.00	31.11	27.00	
002851	麦格米特	-2.91	38285388	    60.66	         68.17亿	          2.26	电气设备	184	0.27	37.74	38.85	38.99	37.60	
300001	特锐德	-0.51	40519196	    83.55	        155.52亿	          0.30	电气设备	462	0.00	15.59	15.54	15.77	15.51	
300014	亿纬锂能	-4.59	560142528	    40.91	        176.25亿	          3.27	元器件	2871	-0.04	20.60	21.50	21.50	20.47	
300040	九洲电气	-3.11	67880032	    25.35	         33.44亿	          3.04	电气设备	356	0.10	9.66	9.90	9.97	9.53	
300048	合康新能	-2.30	30448040	    76.92	         51.47亿	          0.66	电气设备	437	0.00	4.67	4.77	4.83	4.60	
300068	南都电源	-0.53	66430728	    30.00	        146.60亿	          0.67	电气设备	661	0.06	16.83	16.88	17.12	16.72	
300073	当升科技	0.00	259171120	    42.08	        102.87亿	          2.76	矿物制品	1118	0.04	28.10	28.03	28.49	27.75	
300088	长信科技	0.22	609352320	    34.49	        210.35亿	          2.94	元器件	8285	0.22	9.16	9.18	9.34	9.01	
300100	双林股份	0.65	59459376	    27.01	         80.62亿	          1.08	汽车服务	788	0.10	20.26	20.04	20.47	20.03	
300115	长盈精密	-3.91	391546912	    38.48	        277.09亿	          1.41	元器件	419	-0.06	30.68	31.79	31.95	30.42	
300116	坚瑞沃能	-1.04	129001424	    23.04	        230.85亿	          1.09	专用机械	1700	0.53	9.50	9.65	9.67	9.33	
300124	汇川技术	-1.06	222478800	    51.48	        496.37亿	          0.58	电器仪表	751	-0.06	29.81	29.99	30.00	29.47	
