代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600074	ST保千里	5.16	190428608	2.24	2.24	--  	866044	19	0.00	          8.50	2.14	
601003	柳钢股份	0.98	189508624	7.23	7.23	7.24	263573	10	0.14	          1.03	7.22	
601186	中国铁建	1.55	188824752	10.49	10.48	10.49	180619	57	0.10	          0.16	10.47	
600971	恒源煤电	2.77	183628176	10.40	10.40	10.41	177570	101	0.19	          1.78	10.26	
000878	云南铜业	1.60	182714832	12.68	12.67	12.68	144014	1725	0.00	          1.02	12.58	
600926	杭州银行	1.11	181766224	11.84	11.83	11.84	153754	2	0.25	          1.05	11.85	
600208	新湖中宝	3.34	178263504	4.33	4.33	4.34	412376	21	0.00	          0.48	4.25	
002054	德美化工	2.93	178182560	6.33	6.33	6.34	283945	7714	0.16	          9.02	6.19	
000402	金 融 街	1.78	175001584	10.28	10.27	10.28	170729	688	0.00	          0.57	10.20	
601919	中远海控	2.01	165672768	6.08	6.07	6.08	273601	35	0.00	          0.36	6.04	
300024	机器人	2.36	165100096	17.38	17.38	17.39	95394	1148	-0.10	          0.63	17.29	
601086	国芳集团	3.16	158933408	8.50	8.50	8.51	187936	102	0.00	         11.75	8.44	
600531	豫光金铅	2.76	157401600	6.70	6.70	6.71	237253	174	0.30	          2.18	6.54	
000728	国元证券	1.10	155364016	9.15	9.15	9.16	169722	3604	0.00	          0.58	9.13	
000055	方大集团	3.31	143026416	7.50	7.50	7.51	191787	2561	0.00	          2.83	7.35	
600109	国金证券	1.10	142824112	8.28	8.27	8.28	172699	50	0.12	          0.57	8.27	
601800	中国交建	1.93	142632208	12.70	12.70	12.71	112656	28	0.40	          0.10	12.55	
601788	光大证券	0.46	141856512	12.97	12.96	12.97	109345	2	0.23	          0.28	13.02	
002069	獐子岛	8.82	141008832	4.44	4.43	4.44	334924	6734	0.23	          4.88	4.05	
000876	新 希 望	0.40	139264432	7.60	7.60	7.61	183019	2208	0.00	          0.44	7.65	
000166	申万宏源	0.20	138712560	4.99	4.99	5.00	277388	1584	-0.19	          0.14	5.01	
603816	顾家家居	2.15	137856224	61.87	61.86	61.87	22715	1	0.15	          2.55	60.80	
000625	长安汽车	1.62	134779040	11.89	11.89	11.90	113911	1242	0.08	          0.30	11.77	
600583	海油工程	4.15	134415760	6.52	6.52	6.53	209028	20	0.15	          0.47	6.35	
600621	华鑫股份	3.69	134401136	11.53	11.53	11.54	117744	26	0.09	          2.25	11.29	
300401	花园生物	3.93	132387656	45.45	45.44	45.45	29344	380	0.00	          1.72	44.40	
600449	宁夏建材	2.33	129874496	11.85	11.85	11.86	109801	226	0.17	          2.30	11.71	
300727	润禾材料	4.04	129863536	29.12	29.12	29.13	45227	1357	0.14	         18.54	28.00	
000783	长江证券	0.27	129170608	7.32	7.32	7.33	176034	1667	0.14	          0.32	7.33	
600643	爱建集团	1.03	128706384	11.75	11.75	11.76	109773	10	-0.08	          0.77	11.73	
600231	凌钢股份	0.86	126828688	4.67	4.67	4.68	273412	38	0.21	          1.70	4.65	
000036	华联控股	1.78	123700624	9.14	9.13	9.14	135870	1980	0.11	          1.20	9.10	
603080	新疆火炬	3.00	123620760	27.82	27.82	27.84	44932	89	-0.28	         12.66	27.34	
300612	宣亚国际	5.67	122538992	33.15	33.15	33.16	36941	723	-0.14	         13.68	32.16	
601901	方正证券	0.47	121729624	6.37	6.38	6.39	190921	99	0.31	          0.23	6.39	
