代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
03666	国际天食	0.00	232490	0.320	--  	732000	12000	0.00	          0.03	  1.24	0.315	
00255	龙记集团	-0.28	229080	3.590	--  	64000	6000	0.00	          0.01	  0.30	3.530	
00432	盈大地产	-0.65	229030	3.050	--  	75000	5000	0.00	          0.02	  0.46	3.080	
01232	金轮天地控股	-1.30	228960	0.760	--  	302000	12000	0.00	          0.02	  0.72	0.760	
01889	三爱健康集团	-2.00	226565	0.245	--  	927500	2500	0.00	          0.03	  0.34	0.250	
02663	应力控股	-2.94	226100	0.495	--  	460000	10000	0.00	          0.08	  0.29	0.490	
00984	永旺	0.42	225150	4.740	--  	47500	40000	0.00	          0.02	  1.38	4.740	
00033	亚投金融集团	-0.96	223046	0.103	--  	2160000	62000	0.00	          0.02	  0.21	0.105	
01488	百福控股	3.45	221900	1.200	--  	184000	4000	0.00	          0.01	  0.66	1.160	
01148	新晨动力	-2.00	218660	0.980	--  	223000	44000	0.00	          0.02	  0.39	0.980	
02863	高丰集团控股	6.45	217290	0.660	--  	327000	156000	0.00	          0.06	  1.70	0.620	
01609	创建集团控股	-0.83	216500	2.400	--  	90000	10000	0.00	          0.01	  0.25	2.450	
00935	龙翔集团	4.76	213900	1.100	--  	202000	10000	4.76	          0.02	  1.51	1.070	
00633	中国全通	1.79	212720	2.280	--  	94000	2000	0.00	          0.00	  0.14	2.240	
01090	大明国际	4.24	212560	2.950	--  	70000	2000	0.00	          0.01	  0.97	3.040	
00771	自动系统	-0.93	209506	1.060	--  	196560	30000	0.00	          0.03	  0.35	1.050	
00596	浪潮国际	0.00	209380	2.320	--  	90000	12000	0.43	          0.01	  0.15	2.340	
00593	梦东方	-0.19	206000	10.680	--  	20000	20000	3.69	          0.01	  0.99	10.300	
01218	永义国际	-2.00	205205	4.900	--  	43001	1000	0.20	          0.05	  3.71	4.800	
00205	财讯传媒	4.00	204905	0.026	--  	8163000	3000	0.00	          0.13	  0.53	0.024	
00385	建联集团	0.00	204440	1.420	--  	144000	68000	0.00	          0.02	  2.00	1.410	
01589	中国物流资产	-0.42	200650	2.390	--  	84000	1000	-0.83	          0.00	  0.23	2.410	
00113	迪生创建	1.05	200030	2.890	--  	69500	4000	0.00	          0.02	  0.39	2.890	
00745	中国国家文化产业	0.00	199180	0.018	--  	11290000	200000	0.00	          0.12	  3.05	0.018	
00503	朗生医药	0.00	198920	1.320	--  	153000	1000	0.00	          0.04	  0.60	1.270	
00379	恒嘉融资租赁	0.00	198340	0.051	--  	3960000	10000	0.00	          0.03	  1.20	0.051	
00830	远东环球	0.00	197440	0.930	--  	212000	2000	0.00	          0.01	  1.61	0.920	
01222	WANG ON GROUP	-1.82	196440	0.108	--  	1820000	100000	0.00	          0.01	  0.80	0.110	
01115	西藏水资源	-2.34	194820	3.340	3.350	58000	1000	-0.30	          0.00	  0.14	3.420	
00938	民生国际	1.85	194243	0.550	--  	350251	192000	-1.79	          0.02	  3.45	0.550	
01660	善乐国际	0.00	194120	0.475	--  	416000	8000	1.06	          0.03	  0.13	0.470	
00757	阳光能源	-0.81	193508	0.244	--  	802000	209000	0.00	          0.02	  0.51	0.244	
00355	世纪城市国际	0.00	193310	0.730	--  	265000	3000	0.00	          0.01	  1.64	0.730	
01036	万科置业海外	-1.88	193290	5.220	--  	37000	4000	0.19	          0.01	  0.61	5.310	
00858	精优药业	1.66	192380	0.184	--  	1050000	100000	0.00	          0.04	  3.07	0.184	
01822	弘达金融控股	-2.61	192360	0.224	--  	840000	30000	0.00	          0.01	  0.91	0.230	
03699	光大永年	-1.74	191740	1.130	--  	168000	4000	-1.74	          0.04	  0.37	1.160	
02878	SOLOMON SYSTECH	-1.45	191270	0.340	--  	564000	10000	0.00	          0.02	  0.59	0.345	
01683	皇中国际	-0.85	191040	1.170	--  	164000	12000	0.00	          0.03	  0.17	1.190	
00609	天德化工	2.58	190720	1.590	--  	124000	4000	3.25	          0.01	  0.35	1.540	
00243	QPL INT'L	-4.90	188667	0.097	--  	1917000	162000	-3.00	          0.08	  1.43	0.101	
00167	IDT INT'L	3.52	186226	0.147	--  	1294000	26000	0.00	          0.05	  0.71	0.141	
00125	新兴光学	0.31	185020	3.200	--  	58000	30000	0.31	          0.02	  3.37	3.190	
01046	寰宇国际金融	1.59	184650	0.640	--  	285000	160000	0.00	          0.03	  0.72	0.630	
01695	椰丰集团	3.85	184550	0.270	--  	695000	25000	0.00	          0.06	  1.33	0.265	
00223	易生活控股	3.03	183822	0.136	--  	1400000	100000	-2.16	          0.03	  1.04	0.130	
01280	汇银智慧社区	0.00	183430	0.465	--  	394000	88000	1.09	          0.02	  0.11	0.465	
00804	鼎石资本	3.47	183390	0.149	--  	1265000	200000	-0.67	          0.03	  0.38	0.143	
00651	中海重工	-1.59	180725	0.062	--  	2950000	5000	0.00	          0.02	  0.65	0.061	
00736	中国置业投资	-2.44	179526	0.040	--  	4602000	3000	5.26	          0.09	  0.71	0.042	
00194	廖创兴企业	-0.47	178880	12.740	--  	14000	4000	-0.16	          0.00	  0.20	12.900	
01627	安保工程控股	0.00	178800	0.590	--  	308000	4000	0.00	          0.02	  0.69	0.580	
01362	新龙移动	-1.89	178560	1.560	--  	112000	8000	2.63	          0.04	  1.15	1.600	
03315	金邦达宝嘉	0.00	177820	2.100	--  	85000	8000	0.48	          0.01	  0.25	2.100	
00334	华显光电	2.27	177145	0.900	--  	203500	16000	3.45	          0.01	  0.55	0.870	
00115	钧濠集团	0.51	175210	0.198	--  	880000	150000	-0.50	          0.06	  3.89	0.182	
06288	FAST RETAIL-DRS	-1.45	174855	30.650	--  	5700	600	-0.33	          0.00	  0.18	30.600	
00876	美加医学	-1.67	174550	0.295	--  	590000	10000	1.72	          0.01	  0.43	0.300	
00834	康大食品	0.00	173440	0.930	--  	188000	4000	-1.06	          0.04	  2.51	0.910	
00126	佳宁娜	-1.80	173300	1.090	--  	158000	4000	0.00	          0.01	  0.12	1.100	
00803	昌兴国际	0.00	171700	0.081	--  	2148000	60000	0.00	          0.02	  0.42	0.078	
01446	鸿福堂	-1.47	170640	0.670	--  	254000	30000	0.00	          0.04	  0.41	0.680	
03366	华侨城（亚洲）	-1.46	169460	3.380	--  	50000	2000	0.00	          0.01	  0.15	3.430	
03608	永盛新材料	-0.60	167650	1.670	--  	100000	35000	0.00	          0.02	  0.80	1.680	
00838	亿和控股	-0.85	167620	1.160	--  	144000	6000	-0.85	          0.01	  0.27	1.160	
01707	致浩达控股	0.00	164520	0.330	--  	496000	120000	0.00	          0.04	  0.91	0.330	
01190	航标控股	3.33	164466	0.093	--  	1844000	320000	0.00	          0.14	  2.27	0.090	
01298	天美（控股）	-0.39	163550	2.540	--  	65000	1000	0.00	          0.02	  0.86	2.530	
01678	中创环球	-4.04	163488	0.190	--  	848000	2000	0.00	          0.04	  0.41	0.198	
00565	锦艺集团控股	-2.25	163450	0.435	--  	370000	95000	0.00	          0.01	  9.25	0.445	
01341	昊天国际建投	0.00	162520	0.280	--  	576000	16000	3.70	          0.02	  1.14	0.290	
01050	嘉利国际	-1.57	162500	1.250	--  	130000	100000	0.00	          0.01	  0.35	1.250	
01265	天津津燃公用	0.00	160800	0.620	--  	260000	20000	0.00	          0.05	  0.55	0.630	
02925	区块链集团（旧）	-3.41	159921	0.198	--  	728800	1200	0.00	          0.06	  0.29	0.224	
02788	精熙国际	-1.40	158840	1.410	--  	112000	20000	0.00	          0.01	  1.25	1.420	
01143	华夏健康产业	-0.83	158744	0.239	--  	660000	4000	0.84	          0.01	  0.17	0.239	
01509	和美医疗	-2.99	158060	2.600	--  	61000	2000	0.78	          0.01	  0.29	2.590	
00018	东方报业集团	1.08	157200	0.940	--  	168000	100000	1.08	          0.01	  0.53	0.920	
00263	高富集团控股	0.89	157002	0.226	--  	699000	3000	0.00	          0.05	  0.53	0.224	
01207	上置集团	-0.49	155692	0.202	--  	776000	200000	0.00	          0.00	  0.71	0.199	
03816	ＫＦＭ金德	-1.92	155560	0.510	--  	304000	8000	0.00	          0.05	  4.52	0.520	
02336	海亮国际	2.60	155250	0.395	--  	390000	10000	0.00	          0.02	  2.87	0.400	
00372	保德国际发展	1.05	154850	0.480	--  	320000	10000	0.00	          0.02	  0.50	0.480	
02308	研祥智能	-3.39	154600	1.140	--  	132000	8000	0.00	          0.04	  0.64	1.180	
01191	中国中石控股	-2.68	152880	0.145	--  	1040000	20000	0.00	          0.03	  1.03	0.148	
00827	玖源集团	-0.77	152676	0.129	--  	1164000	52000	0.00	          0.03	  1.36	0.142	
01277	力量能源	-1.82	152440	0.540	--  	284000	2000	1.89	          0.00	  0.44	0.550	
00253	顺豪控股	0.77	151380	2.610	--  	58000	14000	0.00	          0.02	  1.42	2.610	
00629	悦达矿业	-5.06	151220	0.750	--  	196000	29000	0.00	          0.02	  1.89	0.790	
00103	首长宝佳	0.00	149440	0.235	--  	642000	2000	0.86	          0.03	  0.87	0.232	
01631	REF HOLDINGS	1.35	149150	1.500	--  	100000	60000	1.35	          0.04	  1.04	1.480	
03768	滇池水务	-0.38	145490	2.590	--  	56000	15000	-0.38	          0.02	  0.16	2.600	
00346	延长石油国际	6.00	145060	0.106	--  	1410000	10000	0.00	          0.01	  0.82	0.102	
00985	中誉集团	0.00	144798	0.041	--  	3532480	240000	0.00	          0.01	  0.19	0.041	
01281	隆基泰和智慧能源	-1.93	143450	2.030	--  	70000	10000	-1.46	          0.01	  0.09	2.030	
