代码	名称	涨幅%%	总金额	现价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
03162	安硕ＭＡ中国	-1.81	64885	9.230	--  	7000	1500	-0.22	--  	  0.73	9.250	
83147	南方中创业板－Ｒ	0.00	62138	5.790	--  	10600	600	1.05	--  	  0.42	5.870	
09846	安硕沪深三百－Ｕ	-1.88	54340	4.180	--  	13000	10000	0.00	--  	 10.48	4.180	
83074	安硕ＭＳ台湾－Ｒ	-6.16	44950	8.990	--  	5000	5000	0.00	--  	  0.24	8.990	
03065	ＤＢ新加坡	0.69	35340	11.600	--  	3000	3000	-1.53	--  	  0.81	11.780	
82847	安硕富时一百－Ｒ	1.06	33440	7.600	--  	4400	3500	0.00	--  	  0.11	7.600	
09836	安硕印度－Ｕ	1.62	27090	3.140	--  	8600	1600	-0.32	--  	  0.38	3.150	
09074	安硕ＭＳ台湾－Ｕ	2.13	24893	1.440	--  	17200	17200	-0.69	--  	  0.24	1.440	
03120	易方达１２０	-1.73	16832	18.180	--  	900	200	-1.73	--  	  1.50	18.760	
02819	ＡＢＦ港债指数	0.00	15412	100.500	--  	154	100	0.00	--  	  0.12	100.500	
82832	博时ＦＡ５０－Ｒ	-2.23	10624	7.020	--  	1500	200	-1.13	--  	  0.32	7.080	
03097	Ｆ未来原油	0.39	10400	5.200	--  	2000	2000	0.00	--  	  0.06	5.200	
03021	南方东英ＭＴ５０	2.80	9900	5.500	--  	1800	1800	0.00	--  	  0.13	5.500	
09170	安硕韩国二百－Ｕ	-2.70	7200	1.440	--  	5000	5000	0.00	--  	  0.35	1.440	
03145	ＢＭＯ亚洲高息股	-0.59	6036	10.060	--  	600	600	0.00	--  	  0.14	10.060	
83168	恒生人币金ＥＴＦ	-2.20	4890	24.450	--  	200	200	0.00	--  	  0.09	24.450	
09155	安硕ＥＳ５０－Ｕ	3.05	3645	1.350	--  	2700	2700	0.00	--  	  0.12	1.350	
09146	安硕ＤＡＸ－Ｕ	2.94	3640	1.400	--  	2600	2600	0.00	--  	  0.10	1.400	
83136	嘉实明晟５０－Ｒ	-1.68	3040	15.200	--  	200	200	0.00	--  	  0.08	15.200	
03156	广发明晟Ａ国	-2.42	2100	10.500	--  	200	200	0.00	--  	  0.08	10.500	
83156	广发明晟Ａ国－Ｒ	-6.84	1688	8.440	--  	200	200	0.00	--  	  0.03	8.440	
07202	ＦＬ二南方Ｎ５０	-3.65	0	18.980	--  	0	0	0.00	--  	  0.00	--  	
