代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	
600083	博信股份	0.59	23357994	18.75	18.72	18.75	12692	1	0.48	          0.56	
000004	国农科技	0.51	21628596	19.90	19.89	19.90	10894	93	0.25	          1.31	
002548	金新农	1.64	20800226	9.31	9.31	9.32	22084	110	0.11	          0.71	
00045	大酒店	1.98	19084788	11.340	--  	--  	1656120	2500	0.00	          0.10	
002758	华通医药	1.40	17069304	7.99	7.99	8.00	21413	35	0.13	          1.73	
300653	正海生物	2.12	16947890	28.45	28.32	28.49	5997	33	0.00	          3.00	
300405	科隆股份	0.63	15916698	12.70	12.62	12.70	12547	212	0.00	          1.26	
603991	至正股份	4.64	15503225	21.86	21.93	21.94	7199	233	0.00	          3.85	
603819	神力股份	3.29	15387782	13.50	13.49	13.52	11479	10	-0.36	          2.05	
03161	易亚中概股	1.33	15049933	13.720	--  	--  	1090000	10000	0.00	--  	
00180	开达集团	5.45	15002681	1.740	--  	--  	8572000	2000	1.16	          0.90	
603038	华立股份	1.01	13923778	33.93	33.87	34.09	4102	6	-0.14	          1.54	
300126	锐奇股份	0.92	13844663	5.47	5.46	5.47	25353	304	0.37	          1.21	
01573	中国优质能源	0.71	13603281	11.360	--  	--  	1220000	2000	2.34	          0.17	
01585	雅迪控股	3.31	13519141	2.500	2.480	2.500	5506000	132000	2.04	          0.18	
600605	汇通能源	4.41	12122180	12.55	12.51	12.56	9949	1	3.46	          0.68	
00500	先丰服务集团	4.58	11282861	1.600	--  	--  	7109000	1000	0.00	          0.47	
00496	卡森国际	0.75	8614430	1.350	--  	--  	6396000	1000	0.75	          0.42	
300553	集智股份	2.34	8153378	33.24	33.10	33.22	2444	3	-0.20	          1.61	
300540	深冷股份	1.19	7158379	18.69	18.66	18.69	3827	27	-0.04	          0.90	
02337	众诚能源	8.49	6104681	4.730	--  	--  	1304000	1000	-0.63	          0.56	
数据来源:通达信
