代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
600016	民生银行	0.11	765035712	     6.01	       2612.38亿	          0.29	银行	255	0.00	8.85	8.79	8.86	8.76	8.83	0.01	8.84	  0.51	868319	北京	
601088	中国神华	-0.83	756961856	     9.54	       3761.61亿	          0.20	煤炭开采	571	0.40	22.83	23.10	23.23	22.46	23.00	-0.19	22.81	  0.75	332587	北京	
002027	分众传媒	-2.16	752883776	    29.65	       1548.52亿	          1.02	影视音像	2613	0.16	12.67	12.91	13.00	12.58	12.94	-0.28	12.66	  1.19	590084	广东	
300726	宏达电子	-8.88	751259904	    64.30	        125.63亿	         55.33	元器件	3273	-0.31	31.40	37.91	37.91	31.21	34.46	-3.06	31.40	308.17	221884	湖南	
600171	上海贝岭	-0.78	749623552	    50.43	        102.55亿	          7.38	半导体	166	1.00	15.24	15.46	15.47	14.65	15.34	-0.12	15.22	  0.75	497310	上海	
601225	陕西煤业	-0.12	740667264	     7.85	        844.00亿	          0.87	煤炭开采	37	0.48	8.45	8.55	8.65	8.36	8.45	-0.01	8.44	  0.68	872276	陕西	
600803	新奥股份	3.27	740216448	    31.58	        161.77亿	          4.53	农药化肥	44	0.12	16.42	16.70	17.27	16.15	15.89	0.52	16.41	  1.83	446492	河北	
002302	西部建设	-0.06	734043008	   136.80	        181.26亿	          4.01	水泥	6308	0.00	17.56	17.30	18.17	17.30	17.57	-0.01	17.56	  0.95	413794	新疆	
000568	泸州老窖	3.90	733527616	    34.29	        913.27亿	          0.84	白酒	777	0.00	62.36	60.19	63.10	59.51	60.01	2.34	62.35	  0.97	118480	四川	
600497	驰宏锌锗	3.59	715853760	    27.14	        310.74亿	          2.29	铅锌	1045	0.14	7.21	7.13	7.40	7.08	6.96	0.25	7.21	  1.56	985110	云南	
600115	东方航空	1.92	711175296	    10.21	        730.73亿	          0.98	空运	35	0.00	7.46	7.25	7.53	7.20	7.31	0.14	7.45	  0.88	958475	上海	
