代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
300477	合纵科技	10.01	170929824	2.16	23.73	--  	72073	5	0.00	          5.96	23.73	23.73	
300649	杭州园林	10.00	167125312	2.89	31.80	--  	54568	70	0.00	         17.05	28.69	31.80	
002079	苏州固锝	4.22	166785712	0.31	7.65	7.66	222081	5148	0.39	          3.06	7.34	7.69	
002043	兔 宝 宝	3.49	164283328	0.39	11.57	11.58	142376	2145	0.00	          1.99	11.20	11.72	
002795	永和智控	10.03	162856160	1.34	14.70	--  	112917	93	0.00	         17.71	13.40	14.70	
002334	英威腾	5.44	161046288	0.46	8.90	8.91	183525	3470	0.22	          3.21	8.47	8.91	
000837	秦川机床	5.43	160687472	0.31	6.01	6.02	265163	2495	0.00	          4.55	5.78	6.28	
002644	佛慈制药	3.30	156123728	0.38	11.90	11.91	132337	2330	0.17	          2.59	11.50	12.08	
603557	起步股份	6.01	155917056	0.94	16.53	16.54	95080	3	0.30	         20.23	16.12	16.70	
603707	健友股份	6.80	155527840	1.89	29.65	29.69	52411	23	0.27	          8.25	28.00	30.57	
603890	春秋电子	4.83	154855984	1.52	32.95	32.96	47604	18	-0.20	         13.90	31.50	33.30	
600210	紫江企业	3.83	152730880	0.18	4.87	4.88	313096	151	0.21	          2.06	4.72	5.04	
300585	奥联电子	0.23	151831920	0.04	17.64	17.65	85912	1570	-0.39	         10.26	17.00	18.50	
002182	云海金属	4.94	151798720	0.38	8.07	8.08	189567	1638	0.25	          4.21	7.85	8.17	
300462	华铭智能	10.01	148886512	2.24	24.61	--  	63935	64	0.00	         11.41	23.50	24.61	
300007	汉威科技	6.37	148647984	0.83	13.85	13.86	110277	1292	-0.06	          4.92	12.99	13.95	
300571	平治信息	10.01	147975920	6.17	67.83	--  	22472	4	0.00	          6.43	61.67	67.83	
603355	莱克电气	6.73	143647232	2.33	36.91	36.93	39965	6	0.16	          5.99	34.42	36.95	
000422	湖北宜化	9.87	142571728	0.31	3.45	--  	416602	1912	0.00	          4.64	3.22	3.45	
002913	奥士康	5.86	142140112	2.06	37.19	37.20	38743	434	0.03	         10.76	35.05	37.87	
603901	永创智能	4.99	140673760	0.44	9.25	9.26	156789	7	-0.31	         10.18	8.75	9.46	
603776	永安行	4.36	140206624	2.34	56.02	56.05	24804	2	-0.26	         10.33	55.10	58.80	
002582	好想你	7.49	139406928	0.88	12.63	12.64	112712	1450	-0.15	          4.78	11.81	12.90	
600418	江淮汽车	1.89	136154064	0.15	8.06	8.07	169646	24	0.25	          1.17	7.89	8.10	
601801	皖新传媒	5.90	136084768	0.54	9.71	9.72	143155	89	0.41	          0.72	9.23	9.72	
