代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
000997	新 大 陆	0.92	222672368	0.17	18.55	18.57	120441	2390	-0.04	          1.30	18.40	
000829	天音控股	7.74	221865072	0.68	9.46	9.47	234008	1497	-0.20	          2.46	9.00	
002655	共达电声	1.60	219462016	0.16	10.17	10.18	214879	3440	0.10	          5.97	10.01	
000987	越秀金控	6.74	216008912	0.65	10.29	10.30	212475	2403	0.29	          3.95	9.90	
600066	宇通客车	0.30	215142864	0.07	23.52	23.53	91734	501	-0.03	          0.41	23.24	
300222	科大智能	2.28	213113824	0.48	21.51	21.52	99717	1510	0.05	          3.09	21.53	
300053	欧比特	0.50	212638352	0.07	13.99	14.00	152794	2248	-0.13	          3.29	14.01	
00813	世茂房地产	2.41	211739024	0.480	20.350	20.400	10292000	382500	0.00	          0.30	20.000	
603108	润达医疗	4.14	211258448	0.58	14.60	14.62	146350	38	0.14	          6.60	14.00	
000901	航天科技	3.94	206066560	0.79	20.84	20.85	99461	1114	0.10	          2.63	20.40	
300161	华中数控	6.46	203176720	1.01	16.64	16.65	124279	2799	1.46	          7.51	16.10	
300244	迪安诊断	1.24	201233296	0.28	22.86	22.87	89631	1776	0.18	          2.62	22.70	
002650	加加食品	1.49	198479328	0.07	4.75	4.76	422004	59581	1.71	          4.46	4.69	
300603	立昂技术	7.44	196050272	2.45	35.40	35.41	56724	981	-0.44	          9.88	33.70	
002681	奋达科技	2.86	193860528	0.30	10.78	10.79	179262	1609	0.00	          2.91	10.99	
600446	金证股份	3.72	192969184	0.57	15.90	15.91	121890	8	0.25	          1.52	15.45	
300231	银信科技	0.96	190523840	0.10	10.48	10.49	182207	4313	0.19	          6.82	10.54	
300688	创业黑马	9.99	189709248	4.53	49.86	--  	38410	11	0.00	         22.59	48.27	
002007	华兰生物	1.69	189523872	0.46	27.74	27.75	68302	753	-0.06	          0.85	27.35	
002368	太极股份	2.58	189511264	0.61	24.22	24.23	79215	676	0.00	          2.02	23.69	
000538	云南白药	0.65	188973840	0.63	96.82	96.83	19566	176	0.00	          0.19	96.20	
002157	正邦科技	6.54	188350496	0.31	5.05	5.06	381019	2957	0.00	          1.78	4.77	
603283	赛腾股份	6.85	187757296	1.73	27.02	27.04	70762	34	0.19	         17.69	25.71	
300292	吴通控股	1.59	184928128	0.09	5.76	5.77	316929	2040	-0.16	          3.48	5.72	
300479	神思电子	9.98	182715472	1.70	18.73	--  	101244	85	0.00	         11.51	17.48	
002208	合肥城建	9.99	178605648	1.00	11.01	--  	165309	525	0.00	          5.18	10.63	
002680	长生生物	3.05	177437504	0.44	14.85	14.87	120624	866	-0.06	          3.00	14.42	
000625	长安汽车	0.17	176214400	0.02	12.05	12.06	146371	1151	0.00	          0.39	12.00	
603889	新澳股份	2.49	172404032	0.39	16.03	16.05	107896	20	0.12	          3.34	15.70	
600136	当代明诚	4.77	171807696	0.69	15.14	15.15	115446	2	-0.12	          3.75	14.62	
300477	合纵科技	10.01	170929824	2.16	23.73	--  	72073	5	0.00	          5.96	23.73	
01099	国药控股	0.86	170900672	0.300	35.050	35.100	4863093	386400	0.57	          0.41	34.500	
603881	数据港	4.20	169181200	1.55	38.45	38.46	44522	25	0.42	          3.48	37.98	
002079	苏州固锝	4.22	166785712	0.31	7.65	7.66	222081	5148	0.39	          3.06	7.34	
002821	凯莱英	3.39	166697824	2.01	61.15	61.30	27209	595	0.39	          2.28	61.10	
002795	永和智控	10.03	162856160	1.34	14.70	--  	112917	93	0.00	         17.71	13.40	
002444	巨星科技	3.92	161882512	0.48	12.71	12.72	127185	1381	0.00	          1.26	12.60	
002922	伊戈尔	1.12	161518208	0.27	24.38	24.39	67174	1479	0.08	         20.36	24.13	
002334	英威腾	5.44	161046288	0.46	8.90	8.91	183525	3470	0.22	          3.21	8.47	
000837	秦川机床	5.43	160687472	0.31	6.01	6.02	265163	2495	0.00	          4.55	5.78	
600641	万业企业	1.67	159669904	0.21	12.76	12.78	126601	47	0.71	          1.57	12.53	
603557	起步股份	6.01	155917056	0.94	16.53	16.54	95080	3	0.30	         20.23	16.12	
