代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
300474	景嘉微	3.80	238244480	1.85	50.50	50.51	47881	859	0.04	          7.15	48.73	50.66	
002389	南洋科技	9.98	237535856	1.60	17.64	--  	136151	155	0.00	          2.54	16.26	17.64	
600783	鲁信创投	4.56	234727344	0.59	13.53	13.55	172996	31	-0.28	          2.32	13.46	14.21	
601966	玲珑轮胎	3.91	231100160	0.73	19.41	19.42	120408	25	0.10	          3.05	18.70	19.46	
002013	中航机电	5.89	229739952	0.57	10.23	10.24	226768	1978	0.00	          1.08	9.86	10.42	
002310	东方园林	0.46	226923632	0.09	19.51	19.52	116713	1843	0.05	          0.72	19.50	19.69	
000988	华工科技	2.87	225661824	0.45	16.13	16.14	141318	2639	0.50	          1.59	15.65	16.15	
601116	三江购物	1.43	225055008	0.26	18.39	18.40	123947	76	-0.58	          3.08	17.99	18.70	
603988	中电电机	10.01	224714752	3.04	33.40	--  	68184	3	0.00	          5.68	31.00	33.40	
000829	天音控股	7.74	221865072	0.68	9.46	9.47	234008	1497	-0.20	          2.46	9.00	9.67	
600100	同方股份	1.97	220911904	0.20	10.33	10.34	214225	142	0.29	          0.72	10.18	10.44	
600667	太极实业	2.64	220232544	0.20	7.77	7.78	285737	11	0.26	          2.40	7.59	7.78	
600482	中国动力	1.14	218123296	0.29	25.82	25.83	84758	3	0.12	          0.93	25.73	26.17	
000987	越秀金控	6.74	216008912	0.65	10.29	10.30	212475	2403	0.29	          3.95	9.90	10.55	
600066	宇通客车	0.30	215142864	0.07	23.52	23.53	91734	501	-0.03	          0.41	23.24	23.60	
300122	智飞生物	3.21	215123408	0.95	30.58	30.59	70695	603	0.13	          0.81	29.67	31.08	
600566	济川药业	6.20	213809248	2.60	44.52	44.58	48983	6	0.02	          0.61	42.26	45.07	
300053	欧比特	0.50	212638352	0.07	13.99	14.00	152794	2248	-0.13	          3.29	14.01	14.10	
603108	润达医疗	4.14	211258448	0.58	14.60	14.62	146350	38	0.14	          6.60	14.00	14.83	
601628	中国人寿	0.56	207234624	0.15	26.92	26.93	77091	5	0.15	          0.04	26.76	27.13	
000983	西山煤电	0.11	206461568	0.01	9.02	9.03	228563	2084	0.11	          0.73	9.00	9.13	
000901	航天科技	3.94	206066560	0.79	20.84	20.85	99461	1114	0.10	          2.63	20.40	20.97	
000507	珠海港	1.43	204220752	0.13	9.22	9.23	219960	1352	-0.10	          2.85	9.30	9.47	
300161	华中数控	6.46	203176720	1.01	16.64	16.65	124279	2799	1.46	          7.51	16.10	16.85	
300612	宣亚国际	9.99	202640992	3.62	39.86	--  	51871	4	0.00	         16.71	36.50	39.86	
300725	药石科技	3.25	201745216	2.95	93.73	93.74	21710	503	0.18	         11.84	91.26	94.87	
002912	中新赛克	5.04	199523984	5.71	118.98	118.99	17056	361	-0.19	         10.21	113.90	120.38	
002650	加加食品	1.49	198479328	0.07	4.75	4.76	422004	59581	1.71	          4.46	4.69	4.76	
300232	洲明科技	6.27	197704224	0.96	16.27	16.28	124806	1507	0.56	          3.35	15.51	16.28	
002681	奋达科技	2.86	193860528	0.30	10.78	10.79	179262	1609	0.00	          2.91	10.99	11.10	
002080	中材科技	0.23	193672720	0.05	21.80	21.81	88484	852	0.00	          2.21	21.75	22.24	
600446	金证股份	3.72	192969184	0.57	15.90	15.91	121890	8	0.25	          1.52	15.45	16.05	
300678	中科信息	5.59	191963200	2.71	51.22	51.23	38138	692	0.02	         15.26	49.20	51.51	
300688	创业黑马	9.99	189709248	4.53	49.86	--  	38410	11	0.00	         22.59	48.27	49.86	
002918	蒙娜丽莎	5.72	189668176	2.56	47.29	47.30	40891	589	0.21	         10.37	44.94	47.88	
002007	华兰生物	1.69	189523872	0.46	27.74	27.75	68302	753	-0.06	          0.85	27.35	27.98	
002368	太极股份	2.58	189511264	0.61	24.22	24.23	79215	676	0.00	          2.02	23.69	24.28	
002157	正邦科技	6.54	188350496	0.31	5.05	5.06	381019	2957	0.00	          1.78	4.77	5.09	
603283	赛腾股份	6.85	187757296	1.73	27.02	27.04	70762	34	0.19	         17.69	25.71	27.22	
002645	华宏科技	4.55	186243008	1.11	25.51	25.52	74115	1260	-0.38	          4.99	24.94	25.88	
300292	吴通控股	1.59	184928128	0.09	5.76	5.77	316929	2040	-0.16	          3.48	5.72	6.12	
300706	阿石创	4.14	184081792	2.55	64.08	64.10	28932	700	-0.07	         14.76	61.65	64.88	
300479	神思电子	9.98	182715472	1.70	18.73	--  	101244	85	0.00	         11.51	17.48	18.73	
002867	周大生	5.42	178766224	1.66	32.26	32.27	56323	877	0.28	          7.33	30.68	32.60	
002208	合肥城建	9.99	178605648	1.00	11.01	--  	165309	525	0.00	          5.18	10.63	11.01	
603501	韦尔股份	4.60	177652208	1.56	35.47	35.50	50637	115	0.20	         12.17	33.94	35.67	
002680	长生生物	3.05	177437504	0.44	14.85	14.87	120624	866	-0.06	          3.00	14.42	14.99	
000625	长安汽车	0.17	176214400	0.02	12.05	12.06	146371	1151	0.00	          0.39	12.00	12.08	
603889	新澳股份	2.49	172404032	0.39	16.03	16.05	107896	20	0.12	          3.34	15.70	16.40	
601000	唐山港	0.58	171907376	0.03	5.16	5.17	333257	71	-0.18	          0.78	5.12	5.20	
600525	长园集团	2.29	171494112	0.37	16.45	16.53	105588	73	0.12	          0.84	16.25	16.60	
300477	合纵科技	10.01	170929824	2.16	23.73	--  	72073	5	0.00	          5.96	23.73	23.73	
300223	北京君正	4.02	168038144	1.07	27.68	27.69	61527	1411	0.29	          6.24	26.63	27.84	
002079	苏州固锝	4.22	166785712	0.31	7.65	7.66	222081	5148	0.39	          3.06	7.34	7.69	
002821	凯莱英	3.39	166697824	2.01	61.15	61.30	27209	595	0.39	          2.28	61.10	61.90	
002222	福晶科技	1.76	165996976	0.30	17.29	17.30	97383	1199	0.29	          2.31	17.03	17.30	
002043	兔 宝 宝	3.49	164283328	0.39	11.57	11.58	142376	2145	0.00	          1.99	11.20	11.72	
300502	新易盛	6.25	163512752	1.57	26.69	26.70	62893	1081	-0.14	          5.04	25.02	26.82	
601333	广深铁路	2.76	163369184	0.13	4.83	4.84	338974	14	0.21	          0.60	4.72	4.89	
002795	永和智控	10.03	162856160	1.34	14.70	--  	112917	93	0.00	         17.71	13.40	14.70	
002444	巨星科技	3.92	161882512	0.48	12.71	12.72	127185	1381	0.00	          1.26	12.60	12.96	
002334	英威腾	5.44	161046288	0.46	8.90	8.91	183525	3470	0.22	          3.21	8.47	8.91	
000837	秦川机床	5.43	160687472	0.31	6.01	6.02	265163	2495	0.00	          4.55	5.78	6.28	
603160	汇顶科技	3.09	159415552	2.67	88.95	88.99	18076	1	-0.03	          0.79	86.00	89.18	
002644	佛慈制药	3.30	156123728	0.38	11.90	11.91	132337	2330	0.17	          2.59	11.50	12.08	
603557	起步股份	6.01	155917056	0.94	16.53	16.54	95080	3	0.30	         20.23	16.12	16.70	
603707	健友股份	6.80	155527840	1.89	29.65	29.69	52411	23	0.27	          8.25	28.00	30.57	
600763	通策医疗	4.43	154143712	1.63	38.46	38.47	40844	2	-0.04	          1.27	36.84	38.54	
600210	紫江企业	3.83	152730880	0.18	4.87	4.88	313096	151	0.21	          2.06	4.72	5.04	
600291	西水股份	1.09	152459808	0.22	20.39	20.41	75101	5	0.30	          0.77	20.13	20.46	
300585	奥联电子	0.23	151831920	0.04	17.64	17.65	85912	1570	-0.39	         10.26	17.00	18.50	
002182	云海金属	4.94	151798720	0.38	8.07	8.08	189567	1638	0.25	          4.21	7.85	8.17	
603660	苏州科达	4.55	151677216	1.67	38.40	38.41	40033	2	0.39	          2.36	36.91	38.48	
300730	科创信息	3.07	151297616	1.00	33.60	33.61	45418	1014	0.03	         19.54	32.96	33.93	
300140	中环装备	3.13	150689776	0.37	12.17	12.18	125291	3069	0.25	          5.11	11.80	12.28	
000581	威孚高科	0.68	150608800	0.16	23.68	23.69	63566	443	-0.03	          0.76	23.52	23.86	
300462	华铭智能	10.01	148886512	2.24	24.61	--  	63935	64	0.00	         11.41	23.50	24.61	
300007	汉威科技	6.37	148647984	0.83	13.85	13.86	110277	1292	-0.06	          4.92	12.99	13.95	
300571	平治信息	10.01	147975920	6.17	67.83	--  	22472	4	0.00	          6.43	61.67	67.83	
300401	花园生物	1.34	146673552	0.65	48.99	49.00	30098	653	-0.19	          1.77	48.70	49.47	
600919	江苏银行	0.00	145789488	0.00	7.47	7.49	194966	37	-0.12	          0.33	7.49	7.52	
603648	畅联股份	0.21	143647440	0.04	18.76	18.77	77339	10	-0.15	          8.39	18.90	18.90	
603355	莱克电气	6.73	143647232	2.33	36.91	36.93	39965	6	0.16	          5.99	34.42	36.95	
002727	一心堂	3.29	143627520	0.78	24.48	24.49	59043	834	0.20	          2.21	23.72	24.60	
300142	沃森生物	0.41	143316224	0.08	19.74	19.75	72682	725	0.00	          0.54	19.78	19.95	
601958	金钼股份	3.05	143162320	0.21	7.10	7.11	202325	40	-0.13	          0.63	6.88	7.17	
000422	湖北宜化	9.87	142571728	0.31	3.45	--  	416602	1912	0.00	          4.64	3.22	3.45	
603709	中源家居	2.60	142260672	0.86	33.91	33.92	42439	2	0.00	         21.22	32.83	34.25	
603106	恒银金融	3.97	141013520	0.85	22.21	22.23	64176	30	0.18	          9.17	21.35	22.33	
603901	永创智能	4.99	140673760	0.44	9.25	9.26	156789	7	-0.31	         10.18	8.75	9.46	
600227	赤天化	1.26	140650704	0.07	5.63	5.64	251452	25	0.53	          2.02	5.42	5.79	
603776	永安行	4.36	140206624	2.34	56.02	56.05	24804	2	-0.26	         10.33	55.10	58.80	
002582	好想你	7.49	139406928	0.88	12.63	12.64	112712	1450	-0.15	          4.78	11.81	12.90	
002044	美年健康	1.83	136739840	0.43	23.87	23.88	57615	408	0.13	          0.54	23.45	24.00	
601801	皖新传媒	5.90	136084768	0.54	9.71	9.72	143155	89	0.41	          0.72	9.23	9.72	
600604	市北高新	1.59	135709360	0.11	7.05	7.06	191915	273	-0.13	          1.84	6.90	7.33	
002917	金奥博	4.47	134453040	1.12	26.15	26.16	52126	1291	0.15	         18.44	25.30	26.28	
000550	江铃汽车	2.87	134379536	0.55	19.73	19.74	68935	1683	0.05	          1.33	19.18	19.74	
300245	天玑科技	3.01	133321768	0.41	14.01	14.02	97115	1350	0.07	          4.72	13.51	14.03	
000710	贝瑞基因	2.92	132585272	1.37	48.24	48.28	27900	316	-0.03	          1.85	46.91	49.38	
300302	同有科技	0.57	132299584	0.06	10.55	10.56	125325	2632	0.19	          5.12	10.40	10.75	
601118	海南橡胶	0.51	131216272	0.03	5.92	5.93	220969	30	0.17	          0.56	5.84	6.02	
600701	工大高新	0.91	130786752	0.08	8.82	8.83	149163	5	0.23	          1.92	8.98	9.05	
000555	神州信息	5.04	129675056	0.53	11.05	11.06	119326	2492	0.09	          1.30	10.52	11.11	
300722	新余国科	1.49	127238368	0.48	32.68	32.70	38955	398	-0.05	         19.48	32.90	33.60	
603626	科森科技	3.95	127230504	0.88	23.19	23.20	55335	83	-0.03	          4.90	22.53	23.50	
300008	天海防务	0.00	126662912	0.00	6.75	6.76	186543	2468	-0.14	          3.22	6.94	6.94	
601228	广州港	0.00	124671736	0.00	5.90	5.91	209916	37	-0.33	          3.00	5.99	6.07	
002409	雅克科技	5.78	124418696	1.32	24.13	24.14	51929	776	-0.28	          2.84	23.10	24.67	
603180	金牌厨柜	4.71	124234240	7.23	160.77	160.82	7896	2	-0.10	          4.64	154.44	161.28	
002203	海亮股份	3.28	123958248	0.28	8.81	8.82	141825	1618	0.00	          0.96	8.56	8.87	
300503	昊志机电	4.00	123455792	0.53	13.76	13.77	89834	1569	-0.35	          8.71	13.64	13.99	
300613	富瀚微	1.61	122613024	2.71	171.00	171.01	7217	169	-0.03	          5.58	169.98	172.17	
300002	神州泰岳	1.17	122014432	0.08	6.89	6.90	177340	3303	-0.28	          1.28	6.88	6.99	
300628	亿联网络	2.93	120698768	3.45	121.35	121.36	10065	440	0.81	          2.70	118.07	121.43	
300692	中环环保	3.31	120652056	1.15	35.84	35.85	33958	1123	0.50	         12.73	35.25	36.50	
600208	新湖中宝	1.39	120576840	0.06	4.36	4.37	276649	42	0.46	          0.32	4.32	4.39	
300457	赢合科技	2.78	120445384	0.75	27.69	27.70	44249	704	0.36	          3.16	26.76	28.10	
300686	智动力	3.70	120412536	0.76	21.31	21.32	56003	834	0.61	         17.89	21.50	22.50	
002878	元隆雅图	2.88	118612584	1.16	41.44	41.45	28847	446	-0.21	         15.31	40.20	41.81	
002636	金安国纪	6.12	117189168	0.83	14.39	14.40	82842	858	0.07	          3.36	13.58	14.64	
002840	华统股份	2.16	117011656	0.73	34.56	34.57	34389	538	0.17	          3.52	33.85	34.80	
