代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
83136	嘉实明晟５０－Ｒ	-0.13	0	--  	--  	0	0	0.00	--  	  0.00	--  	14.940	
83132	添富中证医药－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	18.220	
83129	南方三百精明－Ｒ	-0.28	0	--  	--  	0	0	0.00	--  	  0.00	--  	14.100	
83127	未来沪深三百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	13.820	
83122	南方东英短债－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	149.650	
83120	易方达１２０－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	14.260	
83115	安硕恒生指数－Ｒ	0.16	0	--  	--  	0	0	0.00	--  	  0.00	--  	91.600	
83107	添富主要消费－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	20.000	
83100	易方达中一百－Ｒ	-0.84	0	--  	--  	0	0	0.00	--  	  0.00	--  	41.100	
83081	价值黄金－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	26.050	
83008	添富沪深三百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	18.320	
82847	安硕富时一百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	7.700	
82834	安硕纳指一百－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	10.720	
82833	恒指ＥＴＦ－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	25.900	
82832	博时ＦＡ５０－Ｒ	-0.73	0	--  	--  	0	0	0.00	--  	  0.00	--  	6.820	
82828	恒生中国企业－Ｒ	0.19	0	--  	--  	0	0	0.00	--  	  0.00	--  	103.600	
82823	安硕Ａ５０－Ｒ	-0.77	0	--  	--  	0	0	0.00	--  	  0.00	--  	12.840	
82808	易方达国债－Ｒ	0.00	0	--  	--  	0	0	0.00	--  	  0.00	--  	107.350	
