代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
01518	新世纪医疗	-0.17	2289520	--  	--  	201000	2000	0.00	          0.04	  0.89	11.480	11.540	
01633	上谕集团	4.23	2273520	--  	--  	3129000	3000	2.78	          0.46	  0.81	0.690	0.760	
00887	英皇钟表珠宝	0.00	2269250	--  	--  	5880000	10000	0.00	          0.09	  1.48	0.380	0.390	
03878	VICON HOLDINGS	-5.18	2255480	--  	--  	764000	14000	0.00	          0.19	  0.52	3.080	3.080	
01469	结好金融	-0.61	2244170	--  	--  	1375000	16000	0.00	          0.06	  0.47	1.630	1.650	
01439	移动互联（中国）	0.00	2236350	--  	--  	1035000	5000	0.46	          0.08	  4.19	2.170	2.170	
00831	利亚零售	0.53	2235740	--  	--  	592000	40000	0.00	          0.08	  0.53	3.780	3.800	
01431	原生态牧业	1.43	2228960	--  	--  	6228000	200000	-1.39	          0.13	  4.03	0.350	0.370	
00031	航天控股	0.00	2226885	--  	--  	2499106	2000	0.00	          0.08	  0.97	0.900	0.900	
01680	澳门励骏	0.00	2214940	1.180	1.200	1861000	24000	0.84	          0.03	  1.10	1.200	1.200	
01509	和美医疗	4.53	2209380	--  	--  	830000	1000	3.75	          0.11	  1.44	2.560	2.780	
00139	中国软实力	0.72	2199387	--  	--  	15859061	28000	0.00	          0.12	  0.69	0.139	0.140	
06118	奥星生命科技	0.00	2188810	--  	--  	770000	20000	0.00	          0.15	  0.70	2.830	2.880	
00062	载通	-0.43	2188155	--  	--  	95041	800	0.22	          0.02	  0.59	23.100	23.100	
01733	易大宗	0.00	2177340	--  	--  	2661650	120000	0.00	          0.09	  0.51	0.820	0.830	
01623	海隆控股	-0.78	2139110	--  	--  	1698000	10000	1.60	          0.10	  0.83	1.270	1.280	
01417	浦江中国	5.21	2137540	--  	--  	1048000	2000	1.00	          0.26	  2.33	1.930	2.100	
00357	航基股份	-0.72	2130110	--  	--  	257000	1000	-0.24	          0.11	  1.48	8.390	8.390	
00058	新威国际	-1.89	2128900	--  	--  	40980000	200000	0.00	          0.66	  0.56	0.052	0.052	
00395	中国智能集团	5.26	2121616	--  	--  	18408000	280000	0.84	          0.39	 15.26	0.113	0.122	
01068	雨润食品	-0.93	2117380	1.060	1.070	1981000	1000	0.00	          0.11	  1.11	1.070	1.080	
00784	凌锐控股	0.00	2112200	--  	--  	4810000	100000	0.00	          0.60	  0.75	0.435	0.445	
00086	新鸿基公司	-0.77	2110059	5.120	5.130	411840	14000	-0.19	          0.02	  0.86	5.150	5.150	
01323	NEWTREE GROUP	-1.01	2107760	--  	--  	4264000	2000	0.00	          0.18	  0.63	0.490	0.495	
06816	瑞港建设	-3.03	2097540	--  	--  	3354000	12000	0.00	          0.42	  1.58	0.650	0.660	
01220	志道国际	-1.41	2093644	--  	--  	2981110	30000	0.00	          0.15	  1.18	0.700	0.720	
01075	首都信息	1.89	2075460	--  	--  	3966000	30000	1.89	          0.51	  5.30	0.520	0.540	
00553	南京熊猫电子股份	-1.72	2064460	4.050	4.070	516000	2000	0.00	          0.21	  1.34	4.040	4.040	
01710	致丰工业电子	8.11	2051800	--  	--  	2696000	20000	2.56	          0.27	  5.21	0.740	0.800	
00326	中国星集团	5.66	2038922	--  	--  	3770004	20000	3.70	          0.42	  1.31	0.540	0.560	
00041	鹰君	-0.35	2035634	42.100	42.400	48086	1000	0.36	          0.01	  0.15	42.300	42.500	
00910	中国三迪	0.00	2032763	--  	--  	4839600	12000	0.00	          0.11	  1.52	0.410	0.425	
00833	华讯	-0.40	2032610	--  	--  	820000	1000	0.00	          0.09	  0.87	2.500	2.500	
01029	铁货	0.56	2028964	--  	--  	11294000	66000	0.00	          0.16	  0.96	0.180	0.181	
00218	申万宏源	-0.38	2024050	--  	--  	775000	5000	0.38	          0.10	  1.14	2.660	2.660	
00707	协盛协丰	-1.49	2014980	--  	--  	6218000	24000	0.00	          0.09	  1.10	0.330	0.335	
00038	第一拖拉机股份	-0.64	2013020	3.080	3.100	654000	8000	0.65	          0.17	  0.98	3.090	3.100	
06828	北京燃气蓝天	0.00	2006960	0.570	0.580	3456000	200000	1.75	          0.04	  0.13	0.580	0.590	
00564	郑煤机	0.70	2005166	4.310	4.370	467200	200	0.00	          0.19	  0.71	4.180	4.340	
00651	中海重工	1.69	1992845	--  	--  	33545000	10000	0.00	          0.25	  3.66	0.059	0.061	
00496	卡森国际	-1.24	1990530	--  	--  	1250000	1000	-0.62	          0.08	  0.53	1.580	1.610	
02383	ＴＯＭ集团	-2.20	1983700	--  	--  	898000	50000	0.00	          0.02	  1.61	2.260	2.280	
00632	东方明珠石油	-0.64	1981922	--  	--  	12811600	3000	2.65	          0.39	  1.87	0.151	0.164	
01591	汛和集团	0.00	1948980	--  	--  	12640000	40000	0.00	          0.32	  0.38	0.156	0.158	
00484	云游控股	4.42	1942046	--  	--  	205600	2200	0.21	          0.15	  2.03	9.270	9.700	
01091	中信大锰	1.11	1937481	--  	--  	4267013	1000	0.00	          0.12	  0.75	0.450	0.460	
00985	中誉集团	-2.56	1913229	--  	--  	50553680	944000	0.00	          0.13	  2.10	0.039	0.039	
00704	和嘉资源	0.00	1905950	--  	--  	7172000	100000	0.00	          0.28	  0.59	0.265	0.270	
00434	博雅互动	-0.33	1894760	--  	--  	634115	9000	0.00	          0.08	  0.62	3.000	3.020	
01420	川控股	0.00	1890380	--  	--  	4968000	52000	2.67	          0.48	  0.64	0.380	0.385	
02031	澳至尊	1.20	1879625	--  	--  	4430000	5000	0.00	          0.59	 14.06	0.410	0.435	
00369	永泰地产	0.00	1879520	--  	--  	300000	2000	0.16	          0.02	  0.48	6.280	6.280	
01028	千百度	0.00	1870250	2.430	2.450	765000	258000	0.82	          0.04	  0.54	2.450	2.450	
03848	富道集团	-1.34	1857900	--  	--  	280000	8000	0.00	          0.19	  0.99	6.700	6.750	
